game_id,event_id,game_datetime_utc,capture_type,captured_at_utc,pulled_at_utc,verification_status,verification_notes,home_spread_open,home_spread_current,line_movement,total_open,total_current,pinnacle_spread,draftkings_spread,home_tickets_pct,away_tickets_pct,home_money_pct,away_money_pct,steam_flag,rlm_flag,rlm_sharp_side,rlm_note,book_disagreement_flag,book_spread_diff,book_sharp_side,book_note,line_freeze_flag,home_win_prob,away_win_prob,home_ats_wins,home_ats_losses,away_ats_wins,away_ats_losses,home_team_name,away_team_name,book,market_type,source,home_team_id,away_team_id,home_ml,away_ml,over_under,spread,dk_spread,total
401856431,401856431,2026-03-09T22:00Z,live,2026-03-09T22:38:13.882820+00:00,2026-03-09T22:38:04.781212+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.498,0.502,,,,,Monmouth Hawks,Campbell Fighting Camels,consensus,spread,ESPN,2405,2097,,,,,,
401851607,401851607,2026-03-09T22:00Z,live,2026-03-09T22:38:16.027887+00:00,2026-03-09T22:38:04.781212+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.598,0.402,,,,,Texas A&M-Corpus Christi Islanders,New Orleans Privateers,consensus,spread,ESPN,357,2443,,,,,,
401851706,401851706,2026-03-09T23:00Z,pregame,2026-03-09T22:38:18.218546+00:00,2026-03-09T22:38:04.781212+00:00,verified,matched_espn_event,,-5.5,,,152.5,,,,,,,False,False,,,False,,,,False,,,,,,,Troy Trojans,Georgia Southern Eagles,consensus,spread,ESPN,2653,290,,,,,,
401851593,401851593,2026-03-09T23:00Z,pregame,2026-03-09T22:38:20.777618+00:00,2026-03-09T22:38:04.781212+00:00,verified,matched_espn_event,,-1.5,,,138.5,,,,,,,False,False,,,False,,,,False,,,,,,,East Tennessee State Buccaneers,Furman Paladins,consensus,spread,ESPN,2193,231,,,,,,
401851432,401851432,2026-03-09T23:00Z,pregame,2026-03-09T22:38:23.215453+00:00,2026-03-09T22:38:04.781212+00:00,verified,matched_espn_event,,-1.5,,,158.5,,,,,,,False,False,,,False,,,,False,,,,,,,Wright State Raiders,Northern Kentucky Norse,consensus,spread,ESPN,2750,94,,,,,,
401851332,401851332,2026-03-09T23:30Z,pregame,2026-03-09T22:38:25.569610+00:00,2026-03-09T22:38:04.781212+00:00,verified,matched_espn_event,,4.5,,,152.5,,,,,,,False,False,,,False,,,,False,,,,,,,Montana Grizzlies,Northern Colorado Bears,consensus,spread,ESPN,149,2458,,,,,,
401856432,401856432,2026-03-10T00:30Z,pregame,2026-03-09T22:38:27.820506+00:00,2026-03-09T22:38:04.781212+00:00,verified,matched_espn_event,,-4.5,,,132.5,,,,,,,False,False,,,False,,,,False,,,,,,,Hofstra Pride,Towson Tigers,consensus,spread,ESPN,2275,119,,,,,,
401851715,401851715,2026-03-10T00:30Z,pregame,2026-03-09T22:38:30.278870+00:00,2026-03-09T22:38:04.781212+00:00,verified,matched_espn_event,,-13.5,,,135.5,,,,,,,False,False,,,False,,,,False,,,,,,,Grambling Tigers,Mississippi Valley State Delta Devils,consensus,spread,ESPN,2755,2400,,,,,,
401851608,401851608,2026-03-10T00:30Z,pregame,2026-03-09T22:38:32.648912+00:00,2026-03-09T22:38:04.781212+00:00,verified,matched_espn_event,,-5.5,,,143.5,,,,,,,False,False,,,False,,,,False,,,,,,,UT Rio Grande Valley Vaqueros,Nicholls Colonels,consensus,spread,ESPN,292,2447,,,,,,
401851759,401851759,2026-03-10T01:00Z,pregame,2026-03-09T22:38:34.974062+00:00,2026-03-09T22:38:04.781212+00:00,verified,matched_espn_event,,-20.5,,,145.5,-20.5,,,,,,False,False,,,False,,,,False,,,,,,,Gonzaga Bulldogs,Oregon State Beavers,consensus,spread,ESPN,2250,204,,,,,,
401851433,401851433,2026-03-10T01:30Z,pregame,2026-03-09T22:38:37.242256+00:00,2026-03-09T22:38:04.781212+00:00,verified,matched_espn_event,,-4.5,,,146.5,,,,,,,False,False,,,False,,,,False,,,,,,,Robert Morris Colonials,Detroit Mercy Titans,consensus,spread,ESPN,2523,2174,,,,,,
401851333,401851333,2026-03-10T02:00Z,pregame,2026-03-09T22:38:39.627786+00:00,2026-03-09T22:38:04.781212+00:00,verified,matched_espn_event,,-3.5,,,154.5,,,,,,,False,False,,,False,,,,False,,,,,,,Eastern Washington Eagles,Weber State Wildcats,consensus,spread,ESPN,331,2692,,,,,,
401851760,401851760,2026-03-10T03:30Z,pregame,2026-03-09T22:38:41.930532+00:00,2026-03-09T22:38:04.781212+00:00,verified,matched_espn_event,,-4.5,,,148.5,-4.5,,,,,,False,False,,,False,,,,False,,,,,,,Saint Mary's Gaels,Santa Clara Broncos,consensus,spread,ESPN,2608,2541,,,,,,
