event_id,game_id,home_team,away_team,pred_spread,pred_total,pred_total_raw,allocation_pct,sanity_flag,sanity_flag_total,odi_star_diff,sme_diff,posw,pxp_diff,lns_diff,vol_diff,sch,wl,svi_avg,tc_diff
401823218,401823218,Northern Illinois Huskies,Bellarmine Knights,-62.4173605704074,156.0434014260185,156.0434014260185,-0.2,SPREAD_OUT_OF_RANGE,,-0.08069999999999994,0.0,-0.133155,0.011059020653561402,-9.610000000000001,-0.9499999999999993,6.993000000000006,0.0,0.13962618834872764,-0.5175000000000018
401822368,401822368,Eastern Illinois Panthers,Blackburn Beavers,46.10157918307819,115.25394795769549,115.25394795769549,0.2,SPREAD_OUT_OF_RANGE,,0.19572999999999996,0.0,0.2877319200000001,-0.01488576100643968,69.60000000000001,,4.995500000000009,0.0,-0.7475433685870914,0.0
401829375,401829375,Southern Indiana Screaming Eagles,East-West University Phantoms,49.36062607546129,123.40156518865325,123.40156518865325,0.2,SPREAD_OUT_OF_RANGE,,0.14320000000000005,0.0,0.239372,-0.10757275281684325,52.5,,11.890999999999991,0.0,-2.1363623427889324,0.33500000000000085
401829453,401829453,Kansas City Roos,Austin Peay Governors,-60.97639398584255,152.44098496460637,152.44098496460637,-0.2,SPREAD_OUT_OF_RANGE,,-0.11950000000000002,0.0,0.09952800000000005,-0.20377354380170587,-53.53,0.5800000000000018,13.673000000000009,0.0,-0.5634708628280467,2.607499999999998
401808712,401808712,Northwestern State Demons,East Texas A&M Lions,54.21604580291987,135.5401145072997,135.5401145072997,0.2,SPREAD_OUT_OF_RANGE,,0.025200000000000035,0.0,0.08791999999999996,-0.05632574983720606,17.14,-14.37,1.4309999999999956,0.0,0.3380537560830955,0.3125000000000018
401830244,401830244,North Carolina Central Eagles,Delaware State Hornets,53.36029532150079,133.40073830375198,133.40073830375198,0.2,SPREAD_OUT_OF_RANGE,,0.06259999999999993,0.0,-0.06831000000000005,-0.0017612612056259191,9.82,12.794149646285852,7.226999999999993,0.0,-0.41959308020665853,1.7675
401812393,401812393,New Haven Chargers,Saint Francis Red Flash,54.0253094234258,135.0632735585645,135.0632735585645,0.2,SPREAD_OUT_OF_RANGE,,0.017100000000000067,0.0,0.2365500000000001,-0.06501246892501045,18.37,0.5600000000000005,0.8049999999999999,0.0,-0.7372720345295717,1.825000000000001
401817640,401817640,IU Indianapolis Jaguars,Purdue Fort Wayne Mastodons,-62.05277123886973,155.13192809717432,155.13192809717432,-0.2,SPREAD_OUT_OF_RANGE,,-0.09979999999999994,0.0,-0.16145999999999994,-0.13682905253919692,-1.3800000000000008,-44.833830071605,2.366,0.0,-0.04126825235471859,-0.317499999999999
401830280,401830280,Evansville Purple Aces,Southern Illinois Salukis,-57.65532665001246,144.13831662503117,144.13831662503117,-0.2,SPREAD_OUT_OF_RANGE,,-0.0734,0.0,-0.20778799999999994,-0.051425916481311784,-35.47,7.61090552644762,1.5119999999999971,0.0,-0.04986114580734416,0.884999999999998
401805178,401805178,Tarleton State Texans,Abilene Christian Wildcats,-54.897549313152844,137.2438732828821,137.2438732828821,-0.2,SPREAD_OUT_OF_RANGE,,0.09590000000000004,0.0,-0.4123440000000001,-0.035315812071509634,-13.43,-3.0600000000000005,5.063999999999995,0.0,0.08751940240175055,2.1174999999999997
