model,L7_n,L7_ats,L7_vs_vig,L30_n,L30_ats,L30_vs_vig,SEASON_n,SEASON_ats,SEASON_vs_vig,pipeline_run_id
fourfactors,0,0.0,-52.4,29,48.3,-4.1,29,48.3,-4.1,22841822772
adjefficiency,0,0.0,-52.4,29,48.3,-4.1,29,48.3,-4.1,22841822772
pythagorean,0,0.0,-52.4,29,48.3,-4.1,29,48.3,-4.1,22841822772
momentum,0,0.0,-52.4,29,48.3,-4.1,29,48.3,-4.1,22841822772
situational,0,0.0,-52.4,29,48.3,-4.1,29,48.3,-4.1,22841822772
cagerankings,0,0.0,-52.4,29,48.3,-4.1,29,48.3,-4.1,22841822772
regressedeff,0,0.0,-52.4,29,48.3,-4.1,29,48.3,-4.1,22841822772
primary,0,0.0,-52.4,250,53.2,0.8,250,53.2,0.8,22841822772
ensemble,0,0.0,-52.4,250,47.6,-4.8,250,47.6,-4.8,22841822772
