conference,adj_net_rtg_mean,adj_net_rtg_median,adj_net_rtg_max,adj_net_rtg_min,adj_ortg_mean,adj_drtg_mean,barthag_mean,barthag_max,cage_power_index_mean,resume_score_mean,team_count,conference_name
Ohio Valley Conference,-2.772727272727273,1.7,43.3,-51.2,107.64545454545454,110.41818181818181,0.4918454545454545,0.9963,61.6,45.53636363636363,11,Ohio Valley Conference
Mid-Eastern Athletic Conference,-4.925000000000001,-7.050000000000001,31.9,-37.5,98.1,103.025,0.448575,0.9726,54.65,23.1875,8,Mid-Eastern Athletic Conference
Metro Atlantic Athletic Conference,-6.007692307692308,-11.2,15.8,-34.8,95.73076923076923,101.73846153846154,0.41193846153846153,0.8878,57.79230769230769,39.47692307692308,13,Metro Atlantic Athletic Conference
Western Athletic Conference,-6.828571428571428,-14.0,27.2,-31.2,106.52857142857144,113.35714285714286,0.3930571428571428,0.938,56.728571428571435,56.81428571428571,7,Western Athletic Conference
Northeast Conference,-7.530000000000001,-7.85,18.4,-37.2,95.76,103.29,0.39076,0.9027,54.089999999999996,31.93,10,Northeast Conference
American Athletic Conference,-7.738461538461538,-7.6,42.4,-55.7,103.16923076923078,110.9076923076923,0.3902538461538461,0.9894,56.91538461538461,53.53076923076923,13,American Athletic Conference
Southwestern Athletic Conference,-7.883333333333333,-7.25,25.0,-44.7,96.91666666666667,104.8,0.38415,0.9618,53.833333333333336,26.758333333333336,12,Southwestern Athletic Conference
America East Conference,-8.811111111111112,-12.9,31.6,-50.5,98.85555555555555,107.66666666666667,0.42981111111111114,0.9716,53.48888888888889,26.88888888888889,9,America East Conference
Missouri Valley Conference,-9.036363636363637,-10.2,18.8,-34.2,112.45454545454545,121.4909090909091,0.36394545454545457,0.894,54.31818181818182,59.51818181818182,11,Missouri Valley Conference
Big West Conference,-9.081818181818182,-8.7,6.1,-28.8,107.14545454545454,116.22727272727273,0.3205181818181818,0.6677,53.63636363636363,50.59090909090909,11,Big West Conference
Southland Conference,-10.091666666666667,-14.7,20.1,-43.0,99.675,109.76666666666667,0.37962500000000005,0.9049,55.71666666666667,48.01666666666667,12,Southland Conference
Big South Conference,-10.511111111111111,-5.6,14.6,-35.6,102.56666666666666,113.07777777777778,0.3370777777777778,0.8029,52.01111111111111,46.44444444444444,9,Big South Conference
Sun Belt Conference,-11.357142857142858,-9.1,25.1,-46.4,101.16428571428571,112.52142857142857,0.3518428571428571,0.9664,52.957142857142856,49.15714285714286,14,Sun Belt Conference
Atlantic 10,-11.549999999999999,-12.95,26.9,-47.5,100.62142857142858,112.17142857142858,0.3185928571428572,0.9431,54.25,62.228571428571435,14,Atlantic 10
Conference USA,-11.716666666666669,-13.25,39.4,-56.7,116.11666666666667,127.83333333333333,0.322075,0.9852,51.958333333333336,55.324999999999996,12,Conference USA
West Coast Conference,-11.766666666666666,-6.15,16.9,-47.7,107.39166666666667,119.15833333333335,0.35109166666666664,0.8418,52.75,54.98333333333334,12,West Coast Conference
Colonial Athletic Association,-11.930769230769231,-10.9,5.4,-32.9,104.9,116.83076923076922,0.2743846153846154,0.6632,51.0,55.13076923076923,13,Colonial Athletic Association
Patriot League,-12.16,-12.35,13.1,-36.2,106.66,118.82000000000001,0.31439,0.8003,49.88,34.79,10,Patriot League
Big 12,-13.99375,-17.3,39.3,-70.6,113.01875,127.0125,0.33223125,0.9777,54.6375,73.81875,16,Big 12
Mountain West,-14.35,-16.6,17.8,-44.7,105.61666666666667,119.96666666666665,0.29462499999999997,0.8858,51.15,60.61666666666667,12,Mountain West
Big East,-14.372727272727273,-17.6,27.3,-54.4,104.26363636363637,118.63636363636364,0.3023,0.9486,53.59090909090909,61.61818181818182,11,Big East
Atlantic Coast Conference,-14.505555555555556,-13.350000000000001,31.9,-56.5,113.46111111111111,127.96666666666667,0.32186666666666663,0.977,52.50555555555556,68.15555555555555,18,Atlantic Coast Conference
Ivy League,-14.9875,-11.7,21.2,-46.1,97.375,112.3625,0.299575,0.8989,51.925,57.975,8,Ivy League
Big Sky Conference,-16.9,-15.149999999999999,28.6,-69.0,101.42,118.32000000000001,0.32772,0.9518,50.12,46.1,10,Big Sky Conference
Mid-American Conference,-17.0,-21.8,53.0,-61.3,101.55384615384615,118.55384615384615,0.29241538461538463,0.9989,48.86923076923077,53.71538461538462,13,Mid-American Conference
Big Ten,-17.483333333333334,-17.5,9.8,-46.2,110.01111111111112,127.49444444444445,0.22526666666666667,0.7227,47.87222222222223,65.9388888888889,18,Big Ten
Horizon League,-18.054545454545455,-15.9,18.6,-58.0,113.58181818181819,131.63636363636363,0.26984545454545456,0.8607,46.790909090909096,51.43636363636363,11,Horizon League
Summit League,-18.72222222222222,-25.9,26.8,-60.6,98.75555555555555,117.47777777777777,0.3152333333333333,0.9469,48.599999999999994,49.21111111111111,9,Summit League
Southern Conference,-18.91,-20.5,18.1,-51.6,115.03,133.94,0.22355999999999998,0.8359,45.72,51.510000000000005,10,Southern Conference
ASUN Conference,-21.275000000000002,-21.35,8.9,-54.2,101.675,122.95,0.23639166666666667,0.7276,45.14166666666667,41.84166666666667,12,ASUN Conference
Southeastern Conference,-22.71875,-23.65,20.3,-57.6,109.84375,132.5625,0.26288125,0.8922,47.1625,70.93125,16,Southeastern Conference
