game_id,team_id,game_datetime_utc,season,rot_size,top2_pused_share,top2_to_rate,rot_efg_l5,rot_efg_l10,rot_to_rate_l5,rot_to_rate_l10,rot_ftrate_l5,rot_3par_l10,rot_stocks_per40_l10,rot_pf_per40_l5,rot_minshare_sd,rot_3p_pct_sd,rot_to_rate_sd,closer_ft_pct,opp_rot_size,opp_top2_pused_share,opp_top2_to_rate,opp_rot_efg_l5,opp_rot_efg_l10,opp_rot_to_rate_l5,opp_rot_to_rate_l10,opp_rot_ftrate_l5,opp_rot_3par_l10,opp_rot_stocks_per40_l10,opp_rot_pf_per40_l5,opp_rot_minshare_sd,opp_rot_3p_pct_sd,opp_rot_to_rate_sd,opp_closer_ft_pct
401808204,142,2026-01-28 01:00:00+00:00,2026,7,0.5529999999999999,0.0728115027345094,0.5618533737515092,0.5648528561419043,0.14232419663252135,0.1403614745981116,0.5306513015845595,0.3645765443730179,2.1108446876829885,3.3334977318147025,0.027516228977511756,0.1853816338174565,0.0870738994498029,,7,0.544,0.06862745098039215,0.503127123685045,0.5326482563107322,0.08832653569829903,0.10312607486335486,0.47205236599650685,0.5378698365404134,2.2953189801478717,3.9976478371394903,0.021100665753432866,0.291064283447971,0.11472448795376765,0.0
401808204,333,2026-01-28 01:00:00+00:00,2026,7,0.544,0.06862745098039215,0.503127123685045,0.5326482563107322,0.08832653569829903,0.10312607486335486,0.47205236599650685,0.5378698365404134,2.2953189801478717,3.9976478371394903,0.021100665753432866,0.291064283447971,0.11472448795376765,0.0,7,0.5529999999999999,0.0728115027345094,0.5618533737515092,0.5648528561419043,0.14232419663252135,0.1403614745981116,0.5306513015845595,0.3645765443730179,2.1108446876829885,3.3334977318147025,0.027516228977511756,0.1853816338174565,0.0870738994498029,
401814545,2459,2026-01-28 01:00:00+00:00,2026,7,0.43,0.13006494866959983,0.4589895873309276,0.4849449680158737,0.1808690859323569,0.1759124412213204,0.45834568043180574,0.44077009166244274,1.8543235282932211,3.5521188889443507,0.045355736761107254,0.20237175625060652,0.1189583756649245,0.9166666666666666,7,0.667,0.1848575712143928,0.5000445414619794,0.48331218109337826,0.13268302588464978,0.11830523729620379,0.404492340034193,0.36157241749701735,1.6406453176559328,3.176799467659403,0.03511884584284245,0.246579468364794,0.13393670470137614,1.0
401814545,2711,2026-01-28 01:00:00+00:00,2026,7,0.667,0.1848575712143928,0.5000445414619794,0.48331218109337826,0.13268302588464978,0.11830523729620379,0.404492340034193,0.36157241749701735,1.6406453176559328,3.176799467659403,0.03511884584284245,0.246579468364794,0.13393670470137614,1.0,7,0.43,0.13006494866959983,0.4589895873309276,0.4849449680158737,0.1808690859323569,0.1759124412213204,0.45834568043180574,0.44077009166244274,1.8543235282932211,3.5521188889443507,0.045355736761107254,0.20237175625060652,0.1189583756649245,0.9166666666666666
401820479,2277,2026-01-28 01:00:00+00:00,2026,7,0.415,0.21908732578210205,0.5367879638261466,0.5044618644849562,0.1803562130508341,0.17127033156938679,0.4963203454615332,0.379766610172864,1.6615747428458643,2.789341523433395,0.04201757002107796,0.3039401660669049,0.1207303653489069,0.625,7,0.472,0.1920588673487871,0.4442620921746526,0.479547311240755,0.1509295162657352,0.13338283710605012,0.40687979260714996,0.32449698385092474,1.9143268323385132,3.476295299130561,0.05367450401216932,0.2427806575741382,0.15400935340579827,1.0
401820479,2916,2026-01-28 01:00:00+00:00,2026,7,0.472,0.1920588673487871,0.4442620921746526,0.479547311240755,0.1509295162657352,0.13338283710605012,0.40687979260714996,0.32449698385092474,1.9143268323385132,3.476295299130561,0.05367450401216932,0.2427806575741382,0.15400935340579827,1.0,7,0.415,0.21908732578210205,0.5367879638261466,0.5044618644849562,0.1803562130508341,0.17127033156938679,0.4963203454615332,0.379766610172864,1.6615747428458643,2.789341523433395,0.04201757002107796,0.3039401660669049,0.1207303653489069,0.625
401820699,259,2026-01-28 01:00:00+00:00,2026,7,0.366,0.0,0.5203091576927974,0.5164834841328348,0.13397362045413402,0.13401687444654856,0.56180771526948,0.40177099645508846,1.8940838744717248,3.0985930735930736,0.024976179127511145,0.24527850648903315,0.1099716730132936,0.7,7,0.308,0.18952922077922077,0.4738503380026245,0.5540665059361375,0.12321253956242914,0.148345835966152,0.4029577339146188,0.31391540917914595,1.9993731531371104,3.5237521440012243,0.04110092108804514,0.28676451843613665,0.09079045404244043,
401820699,59,2026-01-28 01:00:00+00:00,2026,7,0.308,0.18952922077922077,0.4738503380026245,0.5540665059361375,0.12321253956242914,0.148345835966152,0.4029577339146188,0.31391540917914595,1.9993731531371104,3.5237521440012243,0.04110092108804514,0.28676451843613665,0.09079045404244043,,7,0.366,0.0,0.5203091576927974,0.5164834841328348,0.13397362045413402,0.13401687444654856,0.56180771526948,0.40177099645508846,1.8940838744717248,3.0985930735930736,0.024976179127511145,0.24527850648903315,0.1099716730132936,0.7
401828394,139,2026-01-28 01:00:00+00:00,2026,7,0.388,0.1528927248724556,0.6151571281451431,0.6458349768991316,0.1492557624252898,0.12486412675664069,0.3766749038842486,0.49044092942900275,2.232334556095366,3.5386645284924207,0.0318665371585334,0.23222496380822688,0.10029240803888397,0.0,7,0.46099999999999997,0.12008642532663366,0.5190157796502604,0.5415795693760225,0.12295478794466903,0.1342552798531361,0.386329426234957,0.48325852136617364,2.577487413012456,3.371901713198014,0.039142596453772154,0.24594109603295564,0.14260379697861128,0.5
401828394,45,2026-01-28 01:00:00+00:00,2026,7,0.46099999999999997,0.12008642532663366,0.5190157796502604,0.5415795693760225,0.12295478794466903,0.1342552798531361,0.386329426234957,0.48325852136617364,2.577487413012456,3.371901713198014,0.039142596453772154,0.24594109603295564,0.14260379697861128,0.5,7,0.388,0.1528927248724556,0.6151571281451431,0.6458349768991316,0.1492557624252898,0.12486412675664069,0.3766749038842486,0.49044092942900275,2.232334556095366,3.5386645284924207,0.0318665371585334,0.23222496380822688,0.10029240803888397,0.0
