event_id,team_id,game_datetime_utc,home_away,h1_pts,h2_pts,h1_pts_against,h2_pts_against,h1_margin,h2_margin,h1_ortg,h2_ortg,h1_drtg,h2_drtg,h1_pts_l5,h2_pts_l5,h1_pts_against_l5,h2_pts_against_l5,h1_margin_l5,h2_margin_l5,h1_pts_l10,h2_pts_l10,h1_pts_against_l10,h2_pts_against_l10,h1_margin_l10,h2_margin_l10,h2_comeback_rate,pipeline_run_id
401812168,2349,2026-02-27T00:00Z,away,,,,,,,,,,,42.5,42.5,31.5,36.0,11.0,6.5,42.5,42.5,31.5,36.0,11.0,6.5,,22422478712
401828237,235,2026-02-20T00:00Z,away,31.0,35.0,47.0,40.0,-16.0,-5.0,90.1,101.7,136.6,116.3,,,,,,,,,,,,,,22422478712
401828240,235,2026-02-22T17:00Z,home,30.0,37.0,46.0,32.0,-16.0,5.0,84.3,104.0,129.3,89.9,31.0,35.0,47.0,40.0,-16.0,-5.0,31.0,35.0,47.0,40.0,-16.0,-5.0,,22422478712
401828249,235,2026-02-27T02:00Z,home,,,,,,,,,,,30.5,36.0,46.5,36.0,-16.0,0.0,30.5,36.0,46.5,36.0,-16.0,0.0,,22422478712
401828435,2350,2026-02-19T00:00Z,away,21.0,38.0,33.0,29.0,-12.0,9.0,63.9,115.7,100.5,88.3,,,,,,,,,,,,,,22422478712
401828441,2350,2026-02-21T17:00Z,away,20.0,41.0,35.0,40.0,-15.0,1.0,60.5,123.9,105.8,120.9,21.0,38.0,33.0,29.0,-12.0,9.0,21.0,38.0,33.0,29.0,-12.0,9.0,,22422478712
401829254,2351,2026-02-21T23:00Z,away,38.0,39.0,32.0,33.0,6.0,6.0,122.1,125.3,102.8,106.0,,,,,,,,,,,,,,22422478712
401829264,2351,2026-02-26T04:00Z,home,,,,,,,,,,,38.0,39.0,32.0,33.0,6.0,6.0,38.0,39.0,32.0,33.0,6.0,6.0,,22422478712
401820206,2352,2026-02-19T00:00Z,home,31.0,46.0,41.0,46.0,-10.0,0.0,89.7,133.1,118.6,133.1,,,,,,,,,,,,,,22422478712
401820207,2352,2026-02-21T19:00Z,away,34.0,48.0,46.0,36.0,-12.0,12.0,78.1,110.2,105.6,82.6,31.0,46.0,41.0,46.0,-10.0,0.0,31.0,46.0,41.0,46.0,-10.0,0.0,,22422478712
401820176,2352,2026-02-26T00:00Z,home,25.0,,43.0,,-18.0,,193.2,,332.3,,32.5,47.0,43.5,41.0,-11.0,6.0,32.5,47.0,43.5,41.0,-11.0,6.0,,22422478712
401809376,236,2026-02-20T00:00Z,away,44.0,50.0,39.0,51.0,5.0,-1.0,138.6,157.5,122.9,160.7,,,,,,,,,,,,,,22422478712
401809379,236,2026-02-21T18:00Z,away,50.0,43.0,29.0,43.0,21.0,0.0,141.9,122.0,82.3,122.0,44.0,50.0,39.0,51.0,5.0,-1.0,44.0,50.0,39.0,51.0,5.0,-1.0,,22422478712
401809386,236,2026-02-27T00:00Z,home,,,,,,,,,,,47.0,46.5,34.0,47.0,13.0,-0.5,47.0,46.5,34.0,47.0,13.0,-0.5,,22422478712
401813307,2363,2026-02-21T00:00Z,home,35.0,35.0,42.0,42.0,-7.0,-7.0,111.7,111.7,134.0,134.0,,,,,,,,,,,,,,22422478712
401813307,2368,2026-02-21T00:00Z,away,42.0,42.0,35.0,35.0,7.0,7.0,131.2,131.2,109.3,109.3,,,,,,,,,,,,,,22422478712
401813343,2368,2026-02-22T18:00Z,home,33.0,32.0,36.0,27.0,-3.0,5.0,99.0,96.0,108.0,81.0,42.0,42.0,35.0,35.0,7.0,7.0,42.0,42.0,35.0,35.0,7.0,7.0,,22422478712
401808885,2377,2026-02-17T00:40Z,away,43.0,32.0,29.0,35.0,14.0,-3.0,135.5,100.8,91.4,110.3,,,,,,,,,,,,,,22422478712
401808886,2377,2026-02-22T01:00Z,home,24.0,46.0,23.0,31.0,1.0,15.0,73.1,140.1,70.0,94.4,43.0,32.0,29.0,35.0,14.0,-3.0,43.0,32.0,29.0,35.0,14.0,-3.0,,22422478712
401808887,2377,2026-02-24T00:30Z,home,34.0,41.0,22.0,46.0,12.0,-5.0,100.4,121.0,64.9,135.8,33.5,39.0,26.0,33.0,7.5,6.0,33.5,39.0,26.0,33.0,7.5,6.0,,22422478712
401812161,2378,2026-02-19T23:00Z,home,38.0,37.0,26.0,36.0,12.0,1.0,115.2,112.1,78.8,109.1,,,,,,,,,,,,,,22422478712
401812162,2378,2026-02-21T18:00Z,home,28.0,38.0,32.0,30.0,-4.0,8.0,93.8,127.3,107.2,100.5,38.0,37.0,26.0,36.0,12.0,1.0,38.0,37.0,26.0,36.0,12.0,1.0,,22422478712
401812166,2378,2026-02-26T23:00Z,home,,,,,,,,,,,33.0,37.5,29.0,33.0,4.0,4.5,33.0,37.5,29.0,33.0,4.0,4.5,,22422478712
401823053,2379,2026-02-17T00:00Z,home,28.0,38.0,31.0,39.0,-3.0,-1.0,93.8,127.3,103.8,130.6,,,,,,,,,,,,,,22422478712
401822777,2379,2026-02-21T21:30Z,away,25.0,35.0,33.0,27.0,-8.0,8.0,67.4,94.3,88.9,72.8,28.0,38.0,31.0,39.0,-3.0,-1.0,28.0,38.0,31.0,39.0,-3.0,-1.0,,22422478712
401808246,238,2026-02-19T02:00Z,away,30.0,50.0,36.0,45.0,-6.0,5.0,88.3,147.2,106.0,132.5,,,,,,,,,,,,,,22422478712
401808255,238,2026-02-21T19:00Z,home,35.0,30.0,31.0,38.0,4.0,-8.0,111.3,95.4,98.5,120.8,30.0,50.0,36.0,45.0,-6.0,5.0,30.0,50.0,36.0,45.0,-6.0,5.0,,22422478712
401808261,238,2026-02-26T00:00Z,home,35.0,,15.0,,20.0,,300.2,,128.6,,32.5,40.0,33.5,41.5,-1.0,-1.5,32.5,40.0,33.5,41.5,-1.0,-1.5,,22422478712
401809376,2382,2026-02-20T00:00Z,home,39.0,51.0,44.0,50.0,-5.0,1.0,120.2,157.2,135.6,154.1,,,,,,,,,,,,,,22422478712
401809378,2382,2026-02-21T19:00Z,home,44.0,45.0,41.0,45.0,3.0,0.0,127.5,130.4,118.8,130.4,39.0,51.0,44.0,50.0,-5.0,1.0,39.0,51.0,44.0,50.0,-5.0,1.0,,22422478712
401809385,2382,2026-02-26T00:00Z,away,23.0,,28.0,,-5.0,,177.7,,216.4,,41.5,48.0,42.5,47.5,-1.0,0.5,41.5,48.0,42.5,47.5,-1.0,0.5,,22422478712
401812416,2385,2026-02-20T00:00Z,home,26.0,44.0,35.0,35.0,-9.0,9.0,71.4,120.7,96.0,96.0,,,,,,,,,,,,,,22422478712
401812377,2385,2026-02-21T19:00Z,home,45.0,46.0,45.0,38.0,0.0,8.0,130.0,132.9,130.0,109.8,26.0,44.0,35.0,35.0,-9.0,9.0,26.0,44.0,35.0,35.0,-9.0,9.0,,22422478712
401812658,2385,2026-02-27T00:00Z,away,,,,,,,,,,,35.5,45.0,40.0,36.5,-4.5,8.5,35.5,45.0,40.0,36.5,-4.5,8.5,,22422478712
401827688,239,2026-02-18T02:00Z,away,34.0,40.0,41.0,49.0,-7.0,-9.0,84.7,99.7,102.2,122.1,,,,,,,,,,,,,,22422478712
401827692,239,2026-02-21T21:00Z,home,32.0,41.0,40.0,28.0,-8.0,13.0,98.9,126.7,123.6,86.5,34.0,40.0,41.0,49.0,-7.0,-9.0,34.0,40.0,41.0,49.0,-7.0,-9.0,,22422478712
401827700,239,2026-02-25T02:00Z,home,41.0,39.0,34.0,53.0,7.0,-14.0,127.6,121.4,105.9,165.0,33.0,40.5,40.5,38.5,-7.5,2.0,33.0,40.5,40.5,38.5,-7.5,2.0,,22422478712
401820751,2390,2026-02-18T01:00Z,home,31.0,36.0,34.0,32.0,-3.0,4.0,97.3,113.0,106.7,100.4,,,,,,,,,,,,,,22422478712
401820760,2390,2026-02-21T19:00Z,away,44.0,39.0,39.0,47.0,5.0,-8.0,134.4,119.1,119.1,143.6,31.0,36.0,34.0,32.0,-3.0,4.0,31.0,36.0,34.0,32.0,-3.0,4.0,,22422478712
401820766,2390,2026-02-25T02:00Z,away,38.0,45.0,32.0,41.0,6.0,4.0,109.6,129.8,92.3,118.2,37.5,37.5,36.5,39.5,1.0,-2.0,37.5,37.5,36.5,39.5,1.0,-2.0,,22422478712
401804937,2393,2026-02-19T00:30Z,away,32.0,38.0,44.0,34.0,-12.0,4.0,92.0,109.2,126.4,97.7,,,,,,,,,,,,,,22422478712
401804944,2393,2026-02-21T19:00Z,home,31.0,47.0,20.0,46.0,11.0,1.0,102.7,155.7,66.3,152.4,32.0,38.0,44.0,34.0,-12.0,4.0,32.0,38.0,44.0,34.0,-12.0,4.0,,22422478712
401804946,2393,2026-02-27T00:30Z,home,,,,,,,,,,,31.5,42.5,32.0,40.0,-0.5,2.5,31.5,42.5,32.0,40.0,-0.5,2.5,,22422478712
401820754,24,2026-02-21T23:00Z,away,25.0,41.0,39.0,33.0,-14.0,8.0,72.7,119.3,113.4,96.0,,,,,,,,,,,,,,22422478712
401820768,24,2026-02-26T01:00Z,home,,,,,,,,,,,25.0,41.0,39.0,33.0,-14.0,8.0,25.0,41.0,39.0,33.0,-14.0,8.0,,22422478712
401827167,2400,2026-02-17T00:00Z,away,25.0,30.0,42.0,50.0,-17.0,-20.0,71.8,86.1,120.6,143.5,,,,,,,,,,,,,,22422478712
401827078,2400,2026-02-20T01:50Z,home,34.0,28.0,40.0,32.0,-6.0,-4.0,98.0,80.7,115.3,92.3,25.0,30.0,42.0,50.0,-17.0,-20.0,25.0,30.0,42.0,50.0,-17.0,-20.0,,22422478712
