phase,n_games,ats_n,ats_hit_rate,total_n,total_hit_rate,ml_n,ml_hit_rate
conference_tournament,120,118,0.5254237288135594,119,0.42016806722689076,120,0.5333333333333333
regular_season,3928,285,0.5052631578947369,285,0.4982456140350877,3928,0.6275458248472505
