event_id,game_datetime_utc,game_datetime_pst,team_id,team,home_away,athlete_id,player,jersey,position,starter,did_not_play,min,pts,fgm,fga,tpm,tpa,ftm,fta,orb,drb,reb,ast,stl,blk,tov,pf,plus_minus,FGA,FGM,FTA,FTM,TPA,TPM,ORB,DRB,RB,TO,AST,pulled_at_utc,source,parse_version,pipeline_run_id
401858739,2026-02-24T23:00Z,2026-02-24 03:00 PM PST,2441,New Haven Chargers,home,5314321,Tristan Burth,20,F,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-24T23:50:41.757609+00:00,espn,v1.0.0,
401858739,2026-02-24T23:00Z,2026-02-24 03:00 PM PST,2441,New Haven Chargers,home,5314322,Zoumana Traore,21,G,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-24T23:50:41.757609+00:00,espn,v1.0.0,
401858739,2026-02-24T23:00Z,2026-02-24 03:00 PM PST,2441,New Haven Chargers,home,5314323,Najimi George,23,G,True,False,18.0,2.0,1.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,4.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2026-02-24T23:50:41.757609+00:00,espn,v1.0.0,
401858739,2026-02-24T23:00Z,2026-02-24 03:00 PM PST,2441,New Haven Chargers,home,5314324,Kyle Kearson,25,G,False,False,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-24T23:50:41.757609+00:00,espn,v1.0.0,
401858739,2026-02-24T23:00Z,2026-02-24 03:00 PM PST,2441,New Haven Chargers,home,5314325,Matiss Ogle,31,G,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-24T23:50:41.757609+00:00,espn,v1.0.0,
401858739,2026-02-24T23:00Z,2026-02-24 03:00 PM PST,2598,Saint Francis Red Flash,away,4703980,Skylar Wicks,8,G,True,False,16.0,13.0,4.0,5.0,0.0,0.0,5.0,5.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,,5.0,4.0,5.0,5.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,2026-02-24T23:50:41.757609+00:00,espn,v1.0.0,
401858739,2026-02-24T23:00Z,2026-02-24 03:00 PM PST,2598,Saint Francis Red Flash,away,4898334,Zion Russell,2,G,True,False,10.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0,2026-02-24T23:50:41.757609+00:00,espn,v1.0.0,
401858739,2026-02-24T23:00Z,2026-02-24 03:00 PM PST,2598,Saint Francis Red Flash,away,5106589,Cameron Tweedy,20,F,False,False,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2026-02-24T23:50:41.757609+00:00,espn,v1.0.0,
401858739,2026-02-24T23:00Z,2026-02-24 03:00 PM PST,2598,Saint Francis Red Flash,away,5106614,Gestin Liberis,21,F,True,False,17.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,1.0,0.0,1.0,3.0,1.0,,4.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,3.0,1.0,2026-02-24T23:50:41.757609+00:00,espn,v1.0.0,
401858739,2026-02-24T23:00Z,2026-02-24 03:00 PM PST,2598,Saint Francis Red Flash,away,5108786,Chris Moncrief,0,G,True,False,17.0,7.0,2.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2026-02-24T23:50:41.757609+00:00,espn,v1.0.0,
401858739,2026-02-24T23:00Z,2026-02-24 03:00 PM PST,2598,Saint Francis Red Flash,away,5177290,Ryen Gresko,22,G,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-24T23:50:41.757609+00:00,espn,v1.0.0,
401858739,2026-02-24T23:00Z,2026-02-24 03:00 PM PST,2598,Saint Francis Red Flash,away,5177291,KJ Swain Jr.,1,G,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-24T23:50:41.757609+00:00,espn,v1.0.0,
401858739,2026-02-24T23:00Z,2026-02-24 03:00 PM PST,2598,Saint Francis Red Flash,away,5242403,Victor Payne,15,G,True,False,18.0,4.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2026-02-24T23:50:41.757609+00:00,espn,v1.0.0,
401858739,2026-02-24T23:00Z,2026-02-24 03:00 PM PST,2598,Saint Francis Red Flash,away,5242404,Carson Rhodes,24,G,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-24T23:50:41.757609+00:00,espn,v1.0.0,
401858739,2026-02-24T23:00Z,2026-02-24 03:00 PM PST,2598,Saint Francis Red Flash,away,5242405,Trey Weiand,30,G,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-24T23:50:41.757609+00:00,espn,v1.0.0,
401858739,2026-02-24T23:00Z,2026-02-24 03:00 PM PST,2598,Saint Francis Red Flash,away,5243388,Ralph Martino Jr.,4,G,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-24T23:50:41.757609+00:00,espn,v1.0.0,
401858739,2026-02-24T23:00Z,2026-02-24 03:00 PM PST,2598,Saint Francis Red Flash,away,5247200,Ahmad Harrison,55,G,False,False,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-24T23:50:41.757609+00:00,espn,v1.0.0,
401858739,2026-02-24T23:00Z,2026-02-24 03:00 PM PST,2598,Saint Francis Red Flash,away,5315062,Brandon Russell,3,G,False,False,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-24T23:50:41.757609+00:00,espn,v1.0.0,
401858739,2026-02-24T23:00Z,2026-02-24 03:00 PM PST,2598,Saint Francis Red Flash,away,5315063,Paris Papadatos,7,G,False,False,10.0,6.0,3.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-24T23:50:41.757609+00:00,espn,v1.0.0,
401858739,2026-02-24T23:00Z,2026-02-24 03:00 PM PST,2598,Saint Francis Red Flash,away,5315064,Melvin Weaver III,11,G,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-24T23:50:41.757609+00:00,espn,v1.0.0,
401858739,2026-02-24T23:00Z,2026-02-24 03:00 PM PST,2598,Saint Francis Red Flash,away,5315065,Kam Wylie,13,F,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-24T23:50:41.757609+00:00,espn,v1.0.0,
401858739,2026-02-24T23:00Z,2026-02-24 03:00 PM PST,2598,Saint Francis Red Flash,away,5315066,Kofi Asare,32,C,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-24T23:50:41.757609+00:00,espn,v1.0.0,
401858739,2026-02-24T23:00Z,2026-02-24 03:00 PM PST,2598,Saint Francis Red Flash,away,5315067,Brandon Rabish,33,G,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-24T23:50:41.757609+00:00,espn,v1.0.0,
401814583,2026-02-24T23:30Z,2026-02-24 03:30 PM PST,193,Miami (OH) RedHawks,away,5093252,Eian Elmer,0,G,True,False,7.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,2026-02-24T23:50:33.893028+00:00,espn,v1.0.0,
401814583,2026-02-24T23:30Z,2026-02-24 03:30 PM PST,193,Miami (OH) RedHawks,away,5101653,Luke Skaljac,3,G,True,False,5.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2026-02-24T23:50:33.893028+00:00,espn,v1.0.0,
401814583,2026-02-24T23:30Z,2026-02-24 03:30 PM PST,193,Miami (OH) RedHawks,away,5105859,Antwone Woolfolk,13,F,True,False,6.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2026-02-24T23:50:33.893028+00:00,espn,v1.0.0,
401814583,2026-02-24T23:30Z,2026-02-24 03:30 PM PST,193,Miami (OH) RedHawks,away,5106674,Peter Suder,5,G,True,False,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-24T23:50:33.893028+00:00,espn,v1.0.0,
401814583,2026-02-24T23:30Z,2026-02-24 03:30 PM PST,193,Miami (OH) RedHawks,away,5108031,Eli Yofan,8,G,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-24T23:50:33.893028+00:00,espn,v1.0.0,
