game_id,game_datetime_utc,game_date,home_team,away_team,spread_line,total_line,ens_spread,ens_spread,ens_total,ens_total,mc_home_win_pct,ens_spread_edge_pts,ens_total_edge_pts,home_last5_net,home_last10_net,away_last5_net,away_last10_net,generated_at,pipeline_run_id
401851391.0,2026-03-12T01:00:00Z,,UC San Diego Tritons,Cal Poly Mustangs,-5.5,158.5,-2.04,,150.1,,,,,5.0,5.0,-14.0,-14.0,2026-03-11T10:57:28Z,22949132396
401851370.0,2026-03-12T01:00:00Z,,Minnesota Golden Gophers,Rutgers Scarlet Knights,-5.5,135.5,-4.71,,126.4,,,,,-23.0,-23.0,12.0,12.0,2026-03-11T10:57:28Z,22949132396
401851310.0,2026-03-12T01:00:00Z,,DePaul Blue Demons,Georgetown Hoyas,-1.5,131.5,1.29,,121.6,,,,,-13.0,-13.0,13.0,13.0,2026-03-11T10:57:28Z,22949132396
401851222.0,2026-03-12T01:00:00Z,,Florida Atlantic Owls,Temple Owls,-1.5,144.5,-2.99,,135.7,,,,,-20.0,-20.0,27.0,27.0,2026-03-11T10:57:28Z,22949132396
401851560.0,2026-03-12T01:30:00Z,,Oklahoma Sooners,South Carolina Gamecocks,-7.5,149.5,-11.56,,142.3,,,,,26.0,26.0,12.0,12.0,2026-03-11T10:57:28Z,22949132396
401851294.0,2026-03-12T01:30:00Z,,TCU Horned Frogs,Oklahoma State Cowboys,-4.5,157.5,-5.64,,143.6,,,,,13.0,13.0,25.5,25.5,2026-03-11T10:57:28Z,22949132396
401851176.0,2026-03-12T01:30:00Z,,Clemson Tigers,Wake Forest Demon Deacons,-4.5,141.5,0.64,,140.0,,,,,27.0,27.0,-1.0,-1.0,2026-03-11T10:57:28Z,22949132396
401851498.0,2026-03-12T03:30:00Z,,Boise State Broncos,San José State Spartans,-15.5,145.5,-5.09,,144.8,,,,,20.0,20.0,,,2026-03-11T10:57:28Z,22949132396
401851392.0,2026-03-12T03:30:00Z,,UC Davis Aggies,UC Santa Barbara Gauchos,5.5,142.5,-4.92,,138.3,,,,,-4.0,-4.0,5.0,5.0,2026-03-11T10:57:28Z,22949132396
401851336.0,2026-03-12T03:30:00Z,,Montana Grizzlies,Idaho Vandals,1.5,145.5,0.1,,144.6,,,,,9.0,9.0,-4.0,-4.0,2026-03-11T10:57:28Z,22949132396
