model_name,n_games,spread_mae,spread_rmse,spread_bias,spread_r2,n_ats_games,ats_correct,ats_pct,n_ou_games,ou_correct,ou_pct,win_correct,win_pct,brier_score,n_edge_games,edge_ats_pct,edge_roi_sim,conf_ats_corr,pipeline_run_id
FourFactors,4048,11.74989871541502,15.15086819754327,4.221949110671936,0.01025209002592094,403,198,49.1,404,195,48.3,2201,54.4,0.2497,287,48.1,-8.2,-0.04,22841822772
AdjEfficiency,4048,14.648764822134387,18.885273831420793,4.111457509881423,0.09661621527892109,403,204,50.6,404,196,48.5,2422,59.8,0.2897,330,50.6,-3.4,0.0,22841822772
Pythagorean,4048,12.840017292490119,16.34036280036733,4.090704051383399,0.11791769938502988,403,194,48.1,404,191,47.3,2462,60.8,0.2711,311,50.2,-4.2,0.0,22841822772
Situational,4048,15.666143774703556,20.215415205526156,4.3614945652173915,0.06841912214476903,403,205,50.9,404,195,48.3,2360,58.3,0.3058,329,49.8,-4.8,0.0,22841822772
CAGERankings,4048,14.591763833992095,18.809724824523837,4.104659090909091,0.0979398043808079,403,204,50.6,404,190,47.0,2418,59.7,0.2889,330,50.3,-4.0,0.046,22841822772
LuckRegression,4048,13.147416007905138,16.746388435787953,4.220499011857708,0.07269775066769314,403,201,49.9,404,191,47.3,2386,58.9,0.2822,320,49.7,-5.1,0.0,22841822772
Variance,4048,11.29883399209486,14.573828004255727,4.175844861660079,0.09635794540629135,403,199,49.4,404,193,47.8,2423,59.9,0.2437,271,48.7,-7.0,-0.023,22841822772
HomeAwayForm,4048,16.11915266798419,20.147273803775743,-12.879039031620554,0.15080552430180807,403,222,55.1,404,190,47.0,2613,64.6,0.2741,365,55.1,5.1,0.0,22841822772
Ensemble,4048,11.601004199604745,14.879104669215577,2.0509461462450593,0.12254227095650887,403,208,51.6,404,215,53.2,2529,62.5,0.2469,292,49.7,-5.2,0.112,22841822772
