run_date,optimizer_metric,optimized_value,n_games_used,fourfactors_weight,adjefficiency_weight,pythagorean_weight,momentum_weight,situational_weight,cagerankings_weight,regressedeff_weight,pipeline_run_id,FourFactors_weight,AdjEfficiency_weight,Pythagorean_weight,Situational_weight,CAGERankings_weight,LuckRegression_weight,Variance_weight,HomeAwayForm_weight
20260226,ats,0.5227,3297,0.3654,0.0765,0.0216,0.2428,0.1222,0.0274,0.144,22441096216.0,,,,,,,,
20260305,ats,0.65,1492,,,,,,,,,0.0578,0.3707,0.1622,0.1124,0.0209,0.0209,0.0074,0.2477
