rank,team,team_id,conference,conf_rank,record,home_record,away_record,cage_em,cage_o,cage_d,cage_t,barthag,wab,expected_win_pct,actual_win_pct,luck,sos,q1_record,q2_record,q3_record,q4_record,q1_wpct,best_win_net,bad_loss_count,cage_power_index,eff_grade,resume_score,suffocation,momentum,clutch_rating,consistency_score,off_identity,tourney_readiness,star_risk,dna_score,floor_em,ceiling_em,trend_arrow,trend_numeric,offensive_archetype,home_road_delta_pct,regression_risk,star_danger,three_pct_gap,efg_pct,opp_efg_pct,tov_pct,orb_pct,drb_pct,ftr,three_par,three_pct,ft_pct,close_wpct,net_rtg_l5,net_rtg_l10,updated_at,conference_name
1,Tennessee State Tigers,2634,Southland Conference,1,2-0,2-0,0-0,80.5,138.9,58.4,64.2,0.9999,0.14,0.991,1.0,0.0,-14.8,0-0,0-0,0-0,1-0,,-14.8,0.0,100.0,A+,39.9,95.2,0.0,66.1,100.0,,,,,68.5,92.5,→ FLAT,0.0,balanced,100.0,0,0,0.0,64.8,37.1,19.1,24.3,75.7,24.1,35.2,42.1,76.9,,11.6,11.6,2026-02-25 15:21 PST,Southland Conference
2,Tulsa Golden Hurricane,202,Atlantic Coast Conference,1,2-0,2-0,0-0,76.7,156.7,80.0,68.0,0.9996,0.18,0.97,1.0,0.0,-1.4,0-0,0-0,0-0,1-0,,-11.9,0.0,93.5,A+,48.5,74.4,0.0,53.6,100.0,,,,,64.7,88.7,→ FLAT,0.0,balanced,100.0,0,0,0.0,63.5,46.2,10.0,27.5,72.5,39.7,46.0,41.4,80.0,,22.4,22.4,2026-02-25 15:21 PST,Atlantic Coast Conference
3,George Washington Revolutionaries,45,Big Ten,1,1-1,0-0,1-1,68.0,163.2,95.2,70.5,0.998,0.77,0.969,0.5,0.0,9.8,1-0,0-0,0-0,0-0,1.0,9.8,0.0,92.4,A+,73.3,77.7,0.0,28.6,100.0,,,,71.0,56.0,80.0,→ FLAT,0.0,interior,-50.0,0,0,0.0,75.9,41.0,17.9,20.6,79.4,34.5,37.9,45.5,80.0,,-21.1,-21.1,2026-02-25 15:21 PST,Big Ten
4,Morgan State Bears,2415,Southern Conference,1,2-1,1-0,1-1,50.0,123.4,73.4,18.4,0.9975,0.4,0.998,0.667,0.0,-23.88,0-0,0-0,1-0,1-0,,-3.3,0.0,85.2,A+,41.1,66.7,0.0,76.8,100.0,,,,37.2,38.0,62.0,→ FLAT,0.0,balanced,50.0,0,0,0.0,70.0,47.5,18.2,33.3,66.7,0.0,60.0,33.3,74.1,,7.0,7.0,2026-02-25 15:21 PST,Southern Conference
5,North Dakota State Bison,2449,Big Ten,1,2-0,1-0,1-0,48.3,116.0,67.7,66.7,0.998,0.08,0.996,1.0,0.0,-19.9,0-0,0-0,0-0,1-0,,-19.9,0.0,85.8,A+,41.2,80.7,0.0,58.9,100.0,,,,45.6,36.3,60.3,→ FLAT,0.0,perimeter,0.0,0,0,0.0,60.7,44.5,19.8,32.7,67.3,8.0,52.0,43.6,66.7,,12.4,12.4,2026-02-25 15:21 PST,Big Ten
6,Duke Blue Devils,150,Big East,1,3-0,2-0,1-0,44.9,128.8,83.9,70.4,0.9928,1.15,0.999,1.0,0.0,4.15,1-0,0-0,1-0,0-0,1.0,16.2,0.0,86.7,A+,74.9,60.3,0.0,71.4,100.0,,,,,32.9,56.9,→ FLAT,0.0,perimeter,0.0,0,0,0.0,55.9,55.4,12.7,28.6,71.4,64.4,55.9,36.4,89.5,,33.6,33.6,2026-02-25 15:21 PST,Big East
7,Saint Joseph's Hawks,2603,Big Ten,2,2-0,1-0,1-0,43.5,124.9,81.4,66.1,0.9928,0.36,0.915,1.0,0.0,-14.45,0-0,0-0,1-0,0-0,,-4.6,0.0,81.3,A+,49.0,65.0,0.0,56.2,100.0,,,,48.1,31.5,55.5,→ FLAT,0.0,balanced,0.0,0,0,0.0,51.7,49.4,12.4,23.7,76.3,29.3,43.1,32.0,88.2,,15.2,15.2,2026-02-25 15:21 PST,Big Ten
8,Utah Valley Wolverines,3084,Atlantic Sun Conference,1,2-0,1-0,1-0,43.0,126.2,83.2,67.5,0.9918,0.93,0.91,1.0,0.0,21.0,1-0,0-0,0-0,0-0,1.0,21.0,0.0,85.8,A+,86.0,51.4,0.0,71.4,100.0,,,,,31.0,55.0,→ FLAT,0.0,interior,0.0,0,0,0.0,40.8,46.6,18.8,48.9,51.1,33.8,21.5,7.1,59.1,,30.1,30.1,2026-02-25 15:21 PST,Atlantic Sun Conference
9,Little Rock Trojans,2031,Southland Conference,2,1-1,1-1,0-0,41.8,124.8,83.0,65.1,0.9909,0.0,0.299,0.5,0.0,0.05,0-0,0-1,1-0,0-0,,-4.2,0.0,84.7,A+,51.7,77.1,0.0,60.7,100.0,,,,,29.8,53.8,→ FLAT,0.0,balanced,50.0,0,0,0.0,41.4,32.7,13.6,29.0,71.0,32.8,25.9,26.7,89.5,,3.3,3.3,2026-02-25 15:21 PST,Southland Conference
10,Wisconsin Badgers,275,Pac-12,1,1-1,1-0,0-1,41.4,146.4,105.0,69.4,0.9786,0.74,0.874,0.5,0.0,-2.55,1-0,0-0,0-0,0-0,1.0,8.4,0.0,84.1,A+,62.9,70.8,0.0,58.0,100.0,,,,56.2,29.4,53.4,→ FLAT,0.0,balanced,100.0,0,0,0.0,63.5,41.8,12.5,17.2,82.8,38.5,46.2,41.7,90.0,,-2.3,-2.3,2026-02-25 15:21 PST,Pac-12
11,Siena Saints,2561,Metro Atlantic Athletic Conference,1,1-1,1-0,0-1,40.6,127.6,87.0,59.1,0.9879,0.21,0.823,0.5,0.0,-10.6,0-0,0-0,0-0,1-0,,-10.6,0.0,75.0,A+,43.6,55.1,0.0,41.1,100.0,,,,50.5,28.6,52.6,→ FLAT,0.0,interior,100.0,0,0,0.0,51.2,42.4,18.3,26.5,73.5,79.1,14.0,33.3,82.4,,-11.2,-11.2,2026-02-25 15:21 PST,Metro Atlantic Athletic Conference
12,North Texas Mean Green,249,Atlantic Coast Conference,2,1-1,1-1,0-0,40.2,139.8,99.6,65.1,0.9801,0.82,0.54,0.5,0.0,8.78,1-0,0-0,0-0,0-0,1.0,12.0,0.0,79.9,A+,70.5,57.4,0.0,43.8,100.0,,,,,28.2,52.2,→ FLAT,0.0,balanced,50.0,0,0,0.0,46.4,46.5,14.1,32.5,67.5,52.7,32.7,27.8,75.9,,-3.9,-3.9,2026-02-25 15:21 PST,Atlantic Coast Conference
13,James Madison Dukes,256,Mid-Eastern Athletic Conference,1,2-0,0-0,2-0,39.1,133.1,94.0,64.8,0.982,0.59,0.916,1.0,0.0,-4.62,0-0,1-0,0-0,0-0,,2.9,0.0,85.2,A+,56.9,84.6,0.0,52.7,100.0,,,,88.7,27.1,51.1,→ FLAT,0.0,balanced,-100.0,0,0,0.0,58.2,41.6,20.1,35.1,64.9,40.0,27.3,13.3,72.7,,13.1,13.1,2026-02-25 15:21 PST,Mid-Eastern Athletic Conference
14,Southern Jaguars,2582,Southwestern Athletic Conference,1,1-1,1-0,0-1,37.0,121.4,84.4,69.1,0.9849,0.29,0.883,0.5,0.0,-7.2,0-0,0-0,1-0,0-0,,-7.2,0.0,82.4,A+,46.6,98.0,0.0,23.2,100.0,,,,71.8,25.0,49.0,→ FLAT,0.0,interior,100.0,0,0,0.0,66.7,43.4,22.6,11.5,88.5,45.1,31.4,50.0,82.6,,-1.4,-1.4,2026-02-25 15:21 PST,Southwestern Athletic Conference
15,Cal State Northridge Matadors,2463,Atlantic 10,1,2-0,0-0,2-0,36.0,117.6,81.6,66.0,0.9853,0.13,0.574,1.0,0.0,-15.0,0-0,0-0,0-0,1-0,,-15.0,0.0,75.6,A+,45.5,62.6,0.0,41.1,100.0,,,,18.5,24.0,48.0,→ FLAT,0.0,balanced,-100.0,0,0,0.0,50.0,33.3,12.5,36.8,63.2,26.1,14.5,30.0,50.0,,2.4,2.4,2026-02-25 15:21 PST,Atlantic 10
16,Southern Utah Thunderbirds,253,Atlantic Sun Conference,2,0-2,0-0,0-2,35.7,129.7,94.0,65.7,0.9759,-0.99,0.368,0.0,0.0,0.15,0-0,0-1,0-1,0-0,,,0.0,86.5,A+,53.0,95.5,0.0,57.1,100.0,,,,41.6,23.7,47.7,→ FLAT,0.0,interior,0.0,0,0,0.0,67.0,43.2,32.1,29.0,71.0,44.0,26.0,69.2,72.7,,-6.1,-6.1,2026-02-25 15:21 PST,Atlantic Sun Conference
