game_id,game_datetime_utc,home_team,away_team,pred_spread,home_spread_open,home_spread_current,clv_vs_open,clv_vs_close,actual_margin,covered,spread_error,model_confidence,game_tier
401825538,2026-02-24T23:30Z,Rutgers Scarlet Knights,Washington Huskies,-3.15,,4.5,,7.65,-7.0,False,-10.15,0.43,HIGH
401825538,2026-02-24T23:30Z,Rutgers Scarlet Knights,Washington Huskies,-3.15,,4.5,,7.65,-7.0,False,-10.15,0.43,HIGH
401825538,2026-02-24T23:30Z,Rutgers Scarlet Knights,Washington Huskies,-3.15,,4.5,,7.65,-7.0,False,-10.15,0.43,HIGH
401825538,2026-02-24T23:30Z,Rutgers Scarlet Knights,Washington Huskies,-3.15,,4.5,,7.65,-7.0,False,-10.15,0.43,HIGH
401808260,2026-02-25T00:00Z,South Carolina Gamecocks,Kentucky Wildcats,-3.15,,5.5,,8.65,-9.0,False,-12.15,0.36,LOW
401808260,2026-02-25T00:00Z,South Carolina Gamecocks,Kentucky Wildcats,-3.15,,5.5,,8.65,-9.0,False,-12.15,0.36,LOW
401808260,2026-02-25T00:00Z,South Carolina Gamecocks,Kentucky Wildcats,-3.15,,5.5,,8.65,-9.0,False,-12.15,0.36,LOW
401808260,2026-02-25T00:00Z,South Carolina Gamecocks,Kentucky Wildcats,-3.15,,5.5,,8.65,-9.0,False,-12.15,0.36,LOW
401820767,2026-02-25T00:00Z,Notre Dame Fighting Irish,Duke Blue Devils,-3.15,,-17.5,,-14.35,-44.0,False,-47.15,0.43,HIGH
401820767,2026-02-25T00:00Z,Notre Dame Fighting Irish,Duke Blue Devils,-3.15,,-17.5,,-14.35,-44.0,False,-47.15,0.43,HIGH
401820767,2026-02-25T00:00Z,Notre Dame Fighting Irish,Duke Blue Devils,-3.15,,-17.5,,-14.35,-44.0,False,-47.15,0.43,HIGH
401820767,2026-02-25T00:00Z,Notre Dame Fighting Irish,Duke Blue Devils,-3.15,,-17.5,,-14.35,-44.0,False,-47.15,0.43,HIGH
401827702,2026-02-25T00:00Z,Oklahoma State Cowboys,West Virginia Mountaineers,-3.15,,-2.5,,0.65,7.0,True,3.85,0.43,UNKNOWN
401827702,2026-02-25T00:00Z,Oklahoma State Cowboys,West Virginia Mountaineers,-3.15,,-2.5,,0.65,7.0,True,3.85,0.43,UNKNOWN
401827702,2026-02-25T00:00Z,Oklahoma State Cowboys,West Virginia Mountaineers,-3.15,,-2.5,,0.65,7.0,True,3.85,0.43,UNKNOWN
401827702,2026-02-25T00:00Z,Oklahoma State Cowboys,West Virginia Mountaineers,-3.15,,-2.5,,0.65,7.0,True,3.85,0.43,UNKNOWN
401827704,2026-02-25T00:00Z,Texas Tech Red Raiders,Cincinnati Bearcats,-3.15,,-6.5,,-3.35,12.0,True,8.85,0.43,UNKNOWN
401827704,2026-02-25T00:00Z,Texas Tech Red Raiders,Cincinnati Bearcats,-3.15,,-6.5,,-3.35,12.0,True,8.85,0.43,UNKNOWN
401827704,2026-02-25T00:00Z,Texas Tech Red Raiders,Cincinnati Bearcats,-3.15,,-6.5,,-3.35,12.0,True,8.85,0.43,UNKNOWN
401827704,2026-02-25T00:00Z,Texas Tech Red Raiders,Cincinnati Bearcats,-3.15,,-6.5,,-3.35,12.0,True,8.85,0.43,UNKNOWN
401825537,2026-02-25T01:30Z,Michigan Wolverines,Minnesota Golden Gophers,-3.15,,-21.5,,-18.35,10.0,True,6.85,0.43,HIGH
401825537,2026-02-25T01:30Z,Michigan Wolverines,Minnesota Golden Gophers,-3.15,,-21.5,,-18.35,10.0,True,6.85,0.43,HIGH
401825537,2026-02-25T01:30Z,Michigan Wolverines,Minnesota Golden Gophers,-3.15,,-21.5,,-18.35,10.0,True,6.85,0.43,HIGH
401825537,2026-02-25T01:30Z,Michigan Wolverines,Minnesota Golden Gophers,-3.15,,-21.5,,-18.35,10.0,True,6.85,0.43,HIGH
401808257,2026-02-25T02:00Z,Missouri Tigers,Tennessee Volunteers,-3.15,,-2.5,,0.65,4.0,True,0.8500000000000001,0.43,LOW
401808257,2026-02-25T02:00Z,Missouri Tigers,Tennessee Volunteers,-3.15,,-2.5,,0.65,4.0,True,0.8500000000000001,0.43,LOW
401808257,2026-02-25T02:00Z,Missouri Tigers,Tennessee Volunteers,-3.15,,-2.5,,0.65,4.0,True,0.8500000000000001,0.43,LOW
401808257,2026-02-25T02:00Z,Missouri Tigers,Tennessee Volunteers,-3.15,,-2.5,,0.65,4.0,True,0.8500000000000001,0.43,LOW
401808262,2026-02-25T02:00Z,Oklahoma Sooners,Auburn Tigers,-3.15,,1.5,,4.65,12.0,True,8.85,0.43,LOW
401808262,2026-02-25T02:00Z,Oklahoma Sooners,Auburn Tigers,-3.15,,1.5,,4.65,12.0,True,8.85,0.43,LOW
401808262,2026-02-25T02:00Z,Oklahoma Sooners,Auburn Tigers,-3.15,,1.5,,4.65,12.0,True,8.85,0.43,LOW
401808262,2026-02-25T02:00Z,Oklahoma Sooners,Auburn Tigers,-3.15,,1.5,,4.65,12.0,True,8.85,0.43,LOW
401820766,2026-02-25T02:00Z,Florida State Seminoles,Miami Hurricanes,-3.15,,2.5,,5.65,-10.0,False,-13.15,0.43,HIGH
401820766,2026-02-25T02:00Z,Florida State Seminoles,Miami Hurricanes,-3.15,,2.5,,5.65,-10.0,False,-13.15,0.43,HIGH
401820766,2026-02-25T02:00Z,Florida State Seminoles,Miami Hurricanes,-3.15,,2.5,,5.65,-10.0,False,-13.15,0.43,HIGH
