rank,team,team_id,conference,conf_rank,record,home_record,away_record,cage_em,cage_o,cage_d,cage_t,barthag,wab,expected_win_pct,actual_win_pct,luck,sos,q1_record,q2_record,q3_record,q4_record,q1_wpct,best_win_net,bad_loss_count,cage_power_index,eff_grade,resume_score,suffocation,momentum,clutch_rating,consistency_score,off_identity,tourney_readiness,star_risk,dna_score,floor_em,ceiling_em,trend_arrow,trend_numeric,offensive_archetype,home_road_delta_pct,regression_risk,star_danger,three_pct_gap,efg_pct,opp_efg_pct,tov_pct,orb_pct,drb_pct,ftr,three_par,three_pct,ft_pct,close_wpct,net_rtg_l5,net_rtg_l10,updated_at,conference_name
1,Duke Blue Devils,150,Big East,1,1-0,0-0,1-0,62.2,141.4,79.2,70.7,0.9987,,0.999,1.0,0.0,-103.0,,,,,,,,81.5,A+,50.0,56.6,0.0,0.0,100.0,80.4,62.4,0.0,91.5,-12.0,12.0,→ FLAT,0.0,perimeter,-100.0,0,0,,55.9,43.3,12.7,28.6,71.4,64.4,55.9,36.4,89.5,,,,2026-02-25 14:47 PST,Big East
2,Virginia Cavaliers,258,Big East,2,1-0,1-0,0-0,40.9,126.9,86.0,70.9,0.9887,,0.989,1.0,0.0,-103.0,,,,,,,,90.5,A+,50.0,76.9,0.0,0.0,100.0,32.3,55.9,0.0,75.0,-12.0,12.0,→ FLAT,0.0,perimeter,100.0,0,0,,63.8,36.0,16.9,17.5,82.5,31.0,44.8,46.2,88.9,,,,2026-02-25 14:47 PST,Big East
3,George Washington Revolutionaries,45,Big Ten,1,1-0,0-0,1-0,37.1,142.9,105.8,72.8,0.9694,,0.969,1.0,0.0,-103.0,,,,,,,,85.7,A+,50.0,69.4,0.0,0.0,100.0,37.3,62.0,0.0,100.0,-12.0,12.0,→ FLAT,0.0,interior,-100.0,0,0,,75.9,50.9,17.9,20.6,79.4,34.5,37.9,45.5,80.0,,,,2026-02-25 14:47 PST,Big Ten
4,Troy Trojans,2653,Mid-Eastern Athletic Conference,1,1-0,1-0,0-0,33.6,137.9,104.3,56.6,0.9613,,0.961,1.0,0.0,-103.0,,,,,,,,74.7,A+,50.0,47.3,0.0,0.0,100.0,56.8,49.7,0.0,69.9,-12.0,12.0,→ FLAT,0.0,interior,100.0,0,0,,57.0,49.1,17.7,41.2,58.8,48.0,36.0,38.9,87.5,,,,2026-02-25 14:47 PST,Mid-Eastern Athletic Conference
5,UCLA Bruins,26,Pac-12,1,1-0,1-0,0-0,28.7,122.4,93.7,66.2,0.9558,,0.956,1.0,0.0,-103.0,,,,,,,,71.7,A+,50.0,41.7,0.0,0.0,100.0,19.6,44.0,0.0,74.7,-12.0,12.0,→ FLAT,0.0,balanced,100.0,0,0,,54.8,41.7,7.6,25.8,74.2,22.2,31.7,35.0,85.7,,,,2026-02-25 14:47 PST,Pac-12
6,Grambling Tigers,2755,Southwestern Athletic Conference,1,1-0,1-0,0-0,26.7,105.5,78.8,78.6,0.9663,,0.966,1.0,0.0,-103.0,,,,,,,,100.0,A+,50.0,100.0,0.0,0.0,100.0,73.5,64.4,0.0,61.1,-12.0,12.0,→ FLAT,0.0,interior,100.0,0,0,,58.7,43.5,25.4,18.4,81.6,59.6,25.0,38.5,71.0,,,,2026-02-25 14:47 PST,Southwestern Athletic Conference
7,Marquette Golden Eagles,269,Big 12,1,1-0,0-0,1-0,24.7,117.2,92.5,64.8,0.9383,,0.938,1.0,0.0,-103.0,,,,,,,,75.1,A,50.0,51.2,0.0,0.0,100.0,13.5,41.6,0.0,60.9,-12.0,12.0,→ FLAT,0.0,perimeter,-100.0,0,0,,57.4,41.0,13.9,32.3,67.7,18.0,39.3,33.3,54.5,,,,2026-02-25 14:47 PST,Big 12
8,Iowa State Cyclones,66,Southeastern Conference,1,1-0,0-0,1-0,23.5,110.4,86.9,67.9,0.9401,,0.94,1.0,0.0,-103.0,,,,,,,,79.1,A,50.0,59.4,0.0,0.0,100.0,31.6,47.1,0.0,62.3,-12.0,12.0,→ FLAT,0.0,balanced,-100.0,0,0,,53.4,52.2,13.3,25.0,75.0,30.5,39.0,30.4,66.7,,,,2026-02-25 14:47 PST,Southeastern Conference
9,Dayton Flyers,2168,Big Ten,2,1-0,1-0,0-0,22.0,112.7,90.7,68.3,0.924,,0.924,1.0,0.0,-103.0,,,,,,,,83.3,A,50.0,70.3,0.0,0.0,100.0,66.7,60.1,0.0,78.2,-12.0,12.0,→ FLAT,0.0,perimeter,100.0,0,0,,54.9,44.5,14.6,16.7,83.3,54.9,39.2,40.0,75.0,,,,2026-02-25 14:47 PST,Big Ten
10,Kansas Jayhawks,2305,Southeastern Conference,2,1-0,1-0,0-0,20.4,108.2,87.8,63.8,0.917,,0.917,1.0,0.0,-103.0,,,,,,,,87.5,A,50.0,80.2,0.0,0.0,100.0,45.2,51.0,0.0,49.2,-12.0,12.0,→ FLAT,0.0,interior,100.0,0,0,,51.0,35.6,18.8,18.4,81.6,40.0,34.0,41.2,90.0,,,,2026-02-25 14:47 PST,Southeastern Conference
