model_name,n_games,spread_mae,spread_rmse,spread_bias,spread_r2,n_ats_games,ats_correct,ats_pct,n_ou_games,ou_correct,ou_pct,win_correct,win_pct,brier_score,n_edge_games,edge_ats_pct,edge_roi_sim,conf_ats_corr,run_hash,created_at,pipeline_run_id
Situational,4046,15.669948096885811,20.21963286788148,4.359710825506673,0.0684134301346203,0,0,0.0,0,0,0.0,2360,58.3,0.3057,0,0.0,0.0,0.0,50b1cf158cddb9e76a134857fcb13772,2026-03-04T20:34:35.551340+00:00,
CAGERankings,4046,14.828855659911024,19.120873122115828,4.322983193277311,0.0592459467135099,0,0,0.0,0,0,0.0,2324,57.4,0.3018,0,0.0,0.0,0.0,50b1cf158cddb9e76a134857fcb13772,2026-03-04T20:34:35.551340+00:00,
LuckRegression,4046,13.252172516065247,16.900564389777937,4.273299555116164,0.0601348646353007,0,0,0.0,0,0,0.0,2333,57.7,0.2861,0,0.0,0.0,0.0,50b1cf158cddb9e76a134857fcb13772,2026-03-04T20:34:35.551340+00:00,
Variance,4046,11.994792387543251,15.481067298827478,4.269508156203658,0.0598629989227446,0,0,0.0,0,0,0.0,2324,57.4,0.2635,0,0.0,0.0,0.0,50b1cf158cddb9e76a134857fcb13772,2026-03-04T20:34:35.551340+00:00,
HomeAwayForm,4046,19.1811789421651,24.787206097792744,4.370185368264953,0.0600317798831924,0,0,0.0,0,0,0.0,2324,57.4,0.3301,0,0.0,0.0,0.0,50b1cf158cddb9e76a134857fcb13772,2026-03-04T20:34:35.551340+00:00,
Ensemble,4046,12.529077949811786,16.139179436389146,4.29679951386142,0.0679767345636797,0,0,0.0,0,0,0.0,2358,58.3,0.2733,0,0.0,0.0,0.0,50b1cf158cddb9e76a134857fcb13772,2026-03-04T20:34:35.551340+00:00,
FourFactors,118,11.748559322033897,14.332067369529971,3.3227966101694904,1.5408863385244095e-09,0,0,0.0,0,0,0.0,51,43.2,0.2498,0,0.0,0.0,0.0,abc2389e03ae2267f0b55bfb960910d5,2026-03-04T20:43:23.695598+00:00,
AdjEfficiency,118,17.67669491525424,22.08177684526469,4.31906779661017,0.0342899151170506,0,0,0.0,0,0,0.0,59,50.0,0.3812,0,0.0,0.0,0.0,abc2389e03ae2267f0b55bfb960910d5,2026-03-04T20:43:23.695598+00:00,
Pythagorean,118,17.676525423728815,21.736466410939435,4.645677966101695,0.0443336399063375,0,0,0.0,0,0,0.0,58,49.2,0.3995,0,0.0,0.0,0.0,abc2389e03ae2267f0b55bfb960910d5,2026-03-04T20:43:23.695598+00:00,
Situational,118,15.41313559322034,19.386521637117905,4.372118644067795,0.0412119120659744,0,0,0.0,0,0,0.0,59,50.0,0.3554,0,0.0,0.0,0.0,abc2389e03ae2267f0b55bfb960910d5,2026-03-04T20:43:23.695598+00:00,
CAGERankings,118,14.68728813559322,18.35794341533599,4.053728813559323,0.0344019849620388,0,0,0.0,0,0,0.0,59,50.0,0.3473,0,0.0,0.0,0.0,abc2389e03ae2267f0b55bfb960910d5,2026-03-04T20:43:23.695598+00:00,
LuckRegression,118,13.803220338983053,16.96348326278479,3.979661016949153,0.0373971364200939,0,0,0.0,0,0,0.0,58,49.2,0.3448,0,0.0,0.0,0.0,abc2389e03ae2267f0b55bfb960910d5,2026-03-04T20:43:23.695598+00:00,
Variance,118,12.162033898305086,14.960505010509888,3.66542372881356,0.0357877206919008,0,0,0.0,0,0,0.0,59,50.0,0.2893,0,0.0,0.0,0.0,abc2389e03ae2267f0b55bfb960910d5,2026-03-04T20:43:23.695598+00:00,
HomeAwayForm,118,12.42771186440678,15.715904256840249,3.771101694915254,0.1074382058153348,0,0,0.0,0,0,0.0,77,65.3,0.256,0,0.0,0.0,0.0,abc2389e03ae2267f0b55bfb960910d5,2026-03-04T20:43:23.695598+00:00,
