window,n_games,ats_correct,ats_pct,ou_correct,ou_pct,win_correct,win_pct,margin_mae,margin_bias,edge_n,edge_ats_pct,high_conf_ats,low_conf_ats,source,pipeline_run_id
L7,38,15,39.5,13,34.2,23,60.5,11.41,3.26,15,33.3,0.0,39.5,primary,22861080993
L7,38,22,59.5,0,0.0,18,48.6,12.34,1.66,15,33.3,0.0,0.0,ensemble,22861080993
L14,308,149,50.7,130,48.5,200,65.6,10.02,-0.94,135,50.4,0.0,50.9,primary,22861080993
L14,308,146,49.8,19,65.5,146,48.0,16.65,-11.83,135,50.4,0.0,48.3,ensemble,22861080993
L30,330,149,50.7,130,48.5,218,66.7,9.87,-1.07,135,50.4,0.0,50.9,primary,22861080993
L30,330,146,49.8,19,65.5,164,50.3,16.05,-11.21,135,50.4,0.0,48.3,ensemble,22861080993
SEASON,330,149,50.7,130,48.5,218,66.7,9.87,-1.07,135,50.4,0.0,50.9,primary,22861080993
SEASON,330,146,49.8,19,65.5,164,50.3,16.05,-11.21,135,50.4,0.0,48.3,ensemble,22861080993
