event_id,team_id,players_flagged,players_severe,starters_flagged,team_injury_load,minutes_at_risk_pct,key_player_flag,game_datetime_utc,pipeline_run_id
401808932,2320,0,0,0,30.0,0.0,0,2026-02-24T00:00Z,
401808932,2447,0,0,0,30.0,0.0,0,2026-02-24T00:00Z,
401808965,2545,0,0,0,30.0,0.0,0,2026-02-24T00:00Z,
401808965,357,0,0,0,30.0,0.0,0,2026-02-24T00:00Z,
401820762,153,0,0,0,30.0,0.0,0,2026-02-24T00:00Z,
401820762,97,0,0,0,30.0,0.0,0,2026-02-24T00:00Z,
401808721,2277,0,0,0,30.0,0.0,0,2026-02-24T00:30Z,
401808721,2837,0,0,0,30.0,0.0,0,2026-02-24T00:30Z,
401808887,2377,0,0,0,30.0,0.0,0,2026-02-24T00:30Z,
401808887,292,0,0,0,30.0,0.0,0,2026-02-24T00:30Z,
401808916,2443,0,0,0,30.0,0.0,0,2026-02-24T00:30Z,
401808916,2617,0,0,0,30.0,0.0,0,2026-02-24T00:30Z,
401808945,2466,0,0,0,30.0,0.0,0,2026-02-24T00:30Z,
401808945,2916,0,0,0,30.0,0.0,0,2026-02-24T00:30Z,
401820820,2305,0,0,0,30.0,0.0,0,2026-02-24T02:00Z,
401820820,248,0,0,0,30.0,0.0,0,2026-02-24T02:00Z,
401827098,2400,0,0,0,30.0,0.0,0,2026-02-24T02:00Z,
401827098,2755,0,0,0,30.0,0.0,0,2026-02-24T02:00Z,
401858739,2441,0,0,0,30.0,0.0,0,2026-02-24T23:00Z,20260224_233252
401858739,2598,0,0,0,30.0,0.0,0,2026-02-24T23:00Z,20260224_233252
401814583,193,0,0,0,0.0,0.0,0,2026-02-24T23:30Z,
401814583,2199,0,0,0,0.0,0.0,0,2026-02-24T23:30Z,
401825538,164,0,0,0,0.0,0.0,0,2026-02-24T23:30Z,20260224_233252
401825538,264,0,0,0,30.0,0.0,0,2026-02-24T23:30Z,20260224_233252
401828444,2325,0,0,0,0.0,0.0,0,2026-02-24T23:30Z,20260224_233252
401828444,45,0,0,0,0.0,0.0,0,2026-02-24T23:30Z,20260224_233252
401808260,2579,0,0,0,30.0,0.0,0,2026-02-25T00:00Z,
401808260,96,0,0,0,30.0,0.0,0,2026-02-25T00:00Z,
401808689,276,0,0,0,30.0,0.0,0,2026-02-25T00:00Z,
401808689,295,0,0,0,30.0,0.0,0,2026-02-25T00:00Z,
401808691,2653,0,0,0,30.0,0.0,0,2026-02-25T00:00Z,
401808691,309,0,0,0,30.0,0.0,0,2026-02-25T00:00Z,
401814580,2006,0,0,0,30.0,0.0,0,2026-02-25T00:00Z,
401814580,2084,0,0,0,30.0,0.0,0,2026-02-25T00:00Z,
401814581,2117,0,0,0,30.0,0.0,0,2026-02-25T00:00Z,
401814581,2309,0,0,0,30.0,0.0,0,2026-02-25T00:00Z,
401814582,113,0,0,0,30.0,0.0,0,2026-02-25T00:00Z,
401814582,2050,0,0,0,30.0,0.0,0,2026-02-25T00:00Z,
401814584,2459,0,0,0,30.0,0.0,0,2026-02-25T00:00Z,
401814584,2649,0,0,0,30.0,0.0,0,2026-02-25T00:00Z,
401814585,189,0,0,0,30.0,0.0,0,2026-02-25T00:00Z,
401814585,2711,0,0,0,30.0,0.0,0,2026-02-25T00:00Z,
401820763,152,0,0,0,30.0,0.0,0,2026-02-25T00:00Z,
401820763,258,0,0,0,30.0,0.0,0,2026-02-25T00:00Z,
401820767,150,0,0,0,30.0,0.0,0,2026-02-25T00:00Z,
401820767,87,0,0,0,30.0,0.0,0,2026-02-25T00:00Z,
401822957,269,0,0,0,30.0,0.0,0,2026-02-25T00:00Z,
