team_id,team,conference,wins,losses,home_wins,home_losses,away_wins,away_losses,neutral_wins,q1_wins,q1_losses,q2_wins,q2_losses,road_wins,q1_win_pct,wab,resume_score,updated_at,sos_rank
193,Miami (OH) RedHawks,Mid-American Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14.1,79.8,2026-03-05T04:55:18Z,93
194,Ohio State Buckeyes,Big Ten,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.34,59.2,2026-03-05T04:55:18Z,318
195,Ohio Bobcats,Mid-American Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.15,55.2,2026-03-05T04:55:18Z,168
197,Oklahoma State Cowboys,Big 12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.31,74.4,2026-03-05T04:55:18Z,96
198,Oral Roberts Golden Eagles,Summit League,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-3.93,30.6,2026-03-05T04:55:18Z,362
201,Oklahoma Sooners,Southeastern Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.33,63.4,2026-03-05T04:55:18Z,100
202,Tulsa Golden Hurricane,American Athletic Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.96,65.9,2026-03-05T04:55:18Z,244
204,Oregon State Beavers,West Coast Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.84,58.8,2026-03-05T04:55:18Z,35
213,Penn State Nittany Lions,Big Ten,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.18,49.0,2026-03-05T04:55:18Z,79
218,Temple Owls,American Athletic Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.12,56.4,2026-03-05T04:55:18Z,288
219,Pennsylvania Quakers,Ivy League,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.16,53.3,2026-03-05T04:55:18Z,138
221,Pittsburgh Panthers,Atlantic Coast Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.48,57.1,2026-03-05T04:55:18Z,218
222,Villanova Wildcats,Big East,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.29,59.0,2026-03-05T04:55:18Z,195
225,Brown Bears,Ivy League,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.92,51.7,2026-03-05T04:55:18Z,84
227,Rhode Island Rams,Atlantic 10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.3,76.8,2026-03-05T04:55:18Z,151
228,Clemson Tigers,Atlantic Coast Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.45,80.6,2026-03-05T04:55:18Z,47
231,Furman Paladins,Southern Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.39,66.5,2026-03-05T04:55:18Z,126
232,Charleston Cougars,Colonial Athletic Association,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.26,71.2,2026-03-05T04:55:18Z,34
233,South Dakota Coyotes,Summit League,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.63,44.0,2026-03-05T04:55:18Z,140
235,Memphis Tigers,American Athletic Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,42.7,2026-03-05T04:55:18Z,310
236,Chattanooga Mocs,Southern Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.8,36.6,2026-03-05T04:55:18Z,356
238,Vanderbilt Commodores,Southeastern Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,13.05,75.3,2026-03-05T04:55:18Z,261
239,Baylor Bears,Big 12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.95,72.9,2026-03-05T04:55:18Z,5
242,Rice Owls,American Athletic Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.19,53.4,2026-03-05T04:55:18Z,174
245,Texas A&M Aggies,Southeastern Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.43,72.8,2026-03-05T04:55:18Z,65
248,Houston Cougars,Big 12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,13.15,81.8,2026-03-05T04:55:18Z,103
249,North Texas Mean Green,American Athletic Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.56,48.7,2026-03-05T04:55:18Z,283
250,UT Arlington Mavericks,Western Athletic Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.95,58.4,2026-03-05T04:55:18Z,143
251,Texas Longhorns,Southeastern Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.98,82.7,2026-03-05T04:55:18Z,40
252,BYU Cougars,Big 12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.34,78.5,2026-03-05T04:55:18Z,113
253,Southern Utah Thunderbirds,Western Athletic Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-2.67,53.0,2026-03-05T04:55:18Z,164
254,Utah Utes,Big 12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.25,61.6,2026-03-05T04:55:18Z,214
256,James Madison Dukes,Sun Belt Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.75,52.2,2026-03-05T04:55:18Z,329
257,Richmond Spiders,Atlantic 10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.14,63.4,2026-03-05T04:55:18Z,105
258,Virginia Cavaliers,Atlantic Coast Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15.13,80.3,2026-03-05T04:55:18Z,187
259,Virginia Tech Hokies,Atlantic Coast Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.37,60.4,2026-03-05T04:55:18Z,298
261,Vermont Catamounts,America East Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.68,51.4,2026-03-05T04:55:18Z,186
264,Washington Huskies,Big Ten,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.96,70.9,2026-03-05T04:55:18Z,184
265,Washington State Cougars,West Coast Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.01,36.9,2026-03-05T04:55:18Z,340
269,Marquette Golden Eagles,Big East,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.18,51.7,2026-03-05T04:55:18Z,157
270,Milwaukee Panthers,Horizon League,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.11,56.0,2026-03-05T04:55:18Z,193
275,Wisconsin Badgers,Big Ten,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.56,62.4,2026-03-05T04:55:18Z,334
276,Marshall Thundering Herd,Sun Belt Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.7,52.8,2026-03-05T04:55:18Z,221
277,West Virginia Mountaineers,Big 12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.58,54.0,2026-03-05T04:55:18Z,287
278,Fresno State Bulldogs,Mountain West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.08,54.9,2026-03-05T04:55:18Z,320
279,Pacific Tigers,West Coast Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.46,51.5,2026-03-05T04:55:18Z,230
282,Indiana State Sycamores,Missouri Valley Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.85,67.4,2026-03-05T04:55:18Z,73
284,Stonehill Skyhawks,Northeast Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-6.74,28.6,2026-03-05T04:55:18Z,232
288,Lipscomb Bisons,ASUN Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.36,51.4,2026-03-05T04:55:18Z,280
290,Georgia Southern Eagles,Sun Belt Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-2.04,48.3,2026-03-05T04:55:18Z,260
292,UT Rio Grande Valley Vaqueros,Southland Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.76,48.6,2026-03-05T04:55:18Z,259
294,Jacksonville Dolphins,ASUN Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-3.95,45.5,2026-03-05T04:55:18Z,191
295,Old Dominion Monarchs,Sun Belt Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-3.44,37.5,2026-03-05T04:55:18Z,201
299,Long Beach State Beach,Big West Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-4.68,29.3,2026-03-05T04:55:18Z,342
300,UC Irvine Anteaters,Big West Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.27,64.9,2026-03-05T04:55:18Z,98
301,San Diego Toreros,West Coast Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-3.38,38.7,2026-03-05T04:55:18Z,328
302,UC Davis Aggies,Big West Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.05,63.2,2026-03-05T04:55:18Z,27
304,Idaho State Bengals,Big Sky Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-3.7,31.3,2026-03-05T04:55:18Z,312
305,DePaul Blue Demons,Big East,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.98,60.7,2026-03-05T04:55:18Z,60
309,Louisiana Ragin' Cajuns,Sun Belt Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-2.15,41.7,2026-03-05T04:55:18Z,199
311,Maine Black Bears,America East Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-9.1,24.7,2026-03-05T04:55:18Z,245
314,Iona Gaels,Metro Atlantic Athletic Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.33,37.1,2026-03-05T04:55:18Z,321
315,Niagara Purple Eagles,Metro Atlantic Athletic Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-9.71,29.1,2026-03-05T04:55:18Z,123
322,Lafayette Leopards,Patriot League,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-7.5,31.0,2026-03-05T04:55:18Z,290
324,Coastal Carolina Chanticleers,Sun Belt Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.85,49.9,2026-03-05T04:55:18Z,196
325,Cleveland State Vikings,Horizon League,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.83,55.2,2026-03-05T04:55:18Z,75
326,Texas State Bobcats,Sun Belt Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.01,59.5,2026-03-05T04:55:18Z,72
328,Utah State Aggies,Mountain West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.93,70.8,2026-03-05T04:55:18Z,220
331,Eastern Washington Eagles,Big Sky Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.55,45.0,2026-03-05T04:55:18Z,127
333,Alabama Crimson Tide,Southeastern Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14.13,77.3,2026-03-05T04:55:18Z,61
338,Kennesaw State Owls,Conference USA,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.61,44.8,2026-03-05T04:55:18Z,305
339,Evansville Purple Aces,Missouri Valley Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-3.46,50.0,2026-03-05T04:55:18Z,180
344,Mississippi State Bulldogs,Southeastern Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.44,70.2,2026-03-05T04:55:18Z,6
349,Army Black Knights,Patriot League,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-5.81,21.6,2026-03-05T04:55:18Z,349
350,UNC Wilmington Seahawks,Colonial Athletic Association,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.86,83.3,2026-03-05T04:55:18Z,225
356,Illinois Fighting Illini,Big Ten,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.54,67.9,2026-03-05T04:55:18Z,282
357,Texas A&M-Corpus Christi Islanders,Southland Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.97,42.1,2026-03-05T04:55:18Z,308
399,UAlbany Great Danes,America East Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-4.8,38.0,2026-03-05T04:55:18Z,139
526,Florida Gulf Coast Eagles,ASUN Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-2.02,35.3,2026-03-05T04:55:18Z,341
2000,Abilene Christian Wildcats,Western Athletic Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.24,67.8,2026-03-05T04:55:18Z,20
2005,Air Force Falcons,Mountain West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-6.43,48.7,2026-03-05T04:55:18Z,71
