athlete_id,event_id,team_id,game_datetime_utc,starter,pts_starter_l5,pts_bench_l5,min_starter_l5,min_bench_l5,efg_pct_starter_l5,efg_pct_bench_l5,usage_rate_starter_l5,usage_rate_bench_l5,pipeline_run_id
4708219,401808721,2837,2026-02-24T00:30Z,True,,,,,,,,,22393633997
4708220,401828444,45,2026-02-24T23:30Z,False,,,,,,,,,22393633997
4710770,401808260,2579,2026-02-25T00:00Z,True,,,,,,,,,22393633997
4711256,401820767,150,2026-02-25T00:00Z,True,,,,,,,,,22393633997
4711258,401828443,139,2026-02-25T00:00Z,True,,,,,,,,,22393633997
4711260,401814584,2649,2026-02-25T00:00Z,True,,,,,,,,,22393633997
4711266,401820762,153,2026-02-24T00:00Z,False,,,,,,,,,22393633997
4711271,401808887,2377,2026-02-24T00:30Z,False,,,,,,,,,22393633997
4711303,401808689,295,2026-02-25T00:00Z,False,,,,,,,,,22393633997
4711304,401825539,26,2026-02-25T04:00Z,False,,,,,,,,,22393633997
4711306,401808260,96,2026-02-25T00:00Z,False,,,,,,,,,22393633997
4711400,401825538,264,2026-02-24T23:30Z,False,,,,,,,,,22393633997
4711838,401806502,88,2026-02-25T00:30Z,True,,,,,,,,,22393633997
4711900,401808887,292,2026-02-24T00:30Z,False,,,,,,,,,22393633997
4712836,401820762,153,2026-02-24T00:00Z,True,,,,,,,,,22393633997
4712838,401823832,2751,2026-02-25T02:00Z,True,,,,,,,,,22393633997
4712843,401808690,2032,2026-02-25T01:30Z,True,,,,,,,,,22393633997
4712845,401820762,97,2026-02-24T00:00Z,True,,,,,,,,,22393633997
4837238,401825536,84,2026-02-25T00:00Z,True,,,,,,,,,22393633997
4837356,401820766,2390,2026-02-25T02:00Z,True,,,,,,,,,22393633997
4845365,401814584,2649,2026-02-25T00:00Z,True,,,,,,,,,22393633997
4845368,401820766,2390,2026-02-25T02:00Z,False,,,,,,,,,22393633997
4845370,401829320,2440,2026-02-25T04:00Z,False,,,,,,,,,22393633997
4848623,401827701,2116,2026-02-25T04:00Z,False,,,,,,,,,22393633997
4848628,401808916,2443,2026-02-24T00:30Z,True,,,,,,,,,22393633997
4848637,401827705,66,2026-02-25T02:00Z,True,,,,,,,,,22393633997
4869737,401825538,264,2026-02-24T23:30Z,True,,,,,,,,,22393633997
4869764,401825537,130,2026-02-25T01:30Z,True,,,,,,,,,22393633997
4870564,401827705,66,2026-02-25T02:00Z,True,,,,,,,,,22393633997
4872727,401820767,87,2026-02-25T00:00Z,True,,,,,,,,,22393633997
4872739,401820820,2305,2026-02-24T02:00Z,False,,,,,,,,,22393633997
4873086,401820820,248,2026-02-24T02:00Z,False,,,,,,,,,22393633997
4873089,401808262,2,2026-02-25T02:00Z,True,,,,,,,,,22393633997
4873107,401820767,150,2026-02-25T00:00Z,False,,,,,,,,,22393633997
4873151,401820763,152,2026-02-25T00:00Z,True,,,,,,,,,22393633997
4873153,401825537,130,2026-02-25T01:30Z,True,,,,,,,,,22393633997
4873163,401827704,2132,2026-02-25T00:00Z,False,,,,,,,,,22393633997
4873180,401825538,264,2026-02-24T23:30Z,False,,,,,,,,,22393633997
4873181,401820762,153,2026-02-24T00:00Z,True,,,,,,,,,22393633997
4873187,401820762,97,2026-02-24T00:00Z,False,,,,,,,,,22393633997
4873208,401820766,52,2026-02-25T02:00Z,False,,,,,,,,,22393633997
4873209,401820767,150,2026-02-25T00:00Z,True,,,,,,,,,22393633997
4873219,401825539,30,2026-02-25T04:00Z,True,,,,,,,,,22393633997
4873220,401808691,309,2026-02-25T00:00Z,False,,,,,,,,,22393633997
4884257,401827702,197,2026-02-25T00:00Z,False,,,,,,,,,22393633997
4888720,401820767,150,2026-02-25T00:00Z,False,,,,,,,,,22393633997
4894460,401820763,258,2026-02-25T00:00Z,False,,,,,,,,,22393633997
4895745,401822957,269,2026-02-25T00:00Z,False,,,,,,,,,22393633997
4895746,401825536,77,2026-02-25T00:00Z,True,,,,,,,,,22393633997
4895747,401808688,2247,2026-02-25T00:30Z,True,,,,,,,,,22393633997
4895780,401808260,96,2026-02-25T00:00Z,False,,,,,,,,,22393633997
4895793,401820762,153,2026-02-24T00:00Z,False,,,,,,,,,22393633997
4896368,401808945,2916,2026-02-24T00:30Z,True,,,,,,,,,22393633997
4896505,401814582,113,2026-02-25T00:00Z,True,,,,,,,,,22393633997
4896534,401830222,82,2026-02-25T01:00Z,True,,,,,,,,,22393633997
4896884,401808260,2579,2026-02-25T00:00Z,True,,,,,,,,,22393633997
4896969,401808689,295,2026-02-25T00:00Z,True,,,,,,,,,22393633997
4897051,401806502,2413,2026-02-25T00:30Z,True,,,,,,,,,22393633997
4897337,401808932,2447,2026-02-24T00:00Z,True,,,,,,,,,22393633997
4897361,401814582,113,2026-02-25T00:00Z,True,,,,,,,,,22393633997
4897365,401827702,277,2026-02-25T00:00Z,True,,,,,,,,,22393633997
4897366,401808945,2916,2026-02-24T00:30Z,False,,,,,,,,,22393633997
4897451,401825536,84,2026-02-25T00:00Z,True,,,,,,,,,22393633997
4897465,401825538,264,2026-02-24T23:30Z,True,,,,,,,,,22393633997
4897467,401808945,2466,2026-02-24T00:30Z,True,,,,,,,,,22393633997
4897504,401808689,276,2026-02-25T00:00Z,True,,,,,,,,,22393633997
4897548,401808932,2447,2026-02-24T00:00Z,True,,,,,,,,,22393633997
4897777,401827705,254,2026-02-25T02:00Z,True,,,,,,,,,22393633997
4897970,401827702,197,2026-02-25T00:00Z,True,,,,,,,,,22393633997
4898169,401808965,357,2026-02-24T00:00Z,False,,,,,,,,,22393633997
4898190,401825539,30,2026-02-25T04:00Z,False,,,,,,,,,22393633997
4898230,401828444,45,2026-02-24T23:30Z,False,,,,,,,,,22393633997
4898257,401808688,324,2026-02-25T00:30Z,False,,,,,,,,,22393633997
4898334,401858739,2598,2026-02-24T23:00Z,True,,,,,,,,,22393633997
4901961,401827702,197,2026-02-25T00:00Z,True,,,,,,,,,22393633997
4903216,401827705,254,2026-02-25T02:00Z,True,,,,,,,,,22393633997
4903264,401828935,278,2026-02-25T02:00Z,True,,,,,,,,,22393633997
4912212,401808688,2247,2026-02-25T00:30Z,False,,,,,,,,,22393633997
4912455,401820767,87,2026-02-25T00:00Z,True,,,,,,,,,22393633997
