game_id,event_id,team_id,opponent_id,home_away,date,game_datetime_utc,season,ODI_star,PEI,POSW,SVI,PXP,LNS,USEF,DPC,FII,SME,SCH,VOL,TC,WL,RFD,GSR,ALT,metric_status_ODI,metric_status_PEI,metric_status_POSW,metric_status_SVI,metric_status_PXP,metric_status_LNS,metric_status_USEF,metric_status_DPC,metric_status_FII,metric_status_SME,metric_status_SCH,metric_status_VOL,metric_status_TC,metric_status_WL,metric_status_RFD,metric_status_GSR,metric_status_ALT
401812600,401812600,108,160,home,2025-11-09,2025-11-09 17:00:00+00:00,2026,,,,0.8712236580065097,,,,-4.341952873563219,-0.3056955428421859,,,,,,,,,BLOCKED_MISSING_INPUT:opp_eFG,BLOCKED_MISSING_INPUT:opp_ORB%,BLOCKED_MISSING_INPUT:PEI,OK,BLOCKED_MISSING_INPUT:ICS,BLOCKED_MISSING_INPUT:lns_player,BLOCKED_MISSING_INPUT:SIE,OK,OK,"BLOCKED_MISSING_INPUT:missing_columns=star_rim_rate,star_midrange_rate,star_post_ups,opp3p_allowed,opp_rim_fg_allowed,opp_mid_fg_allowed,opp_post_ups_allowed",BLOCKED_MISSING_INPUT:opp_FTr,BLOCKED_MISSING_INPUT:VOL_l8_std,BLOCKED_MISSING_INPUT:z_pace_abs_dev_l12_mean,BLOCKED_MISSING_INPUT:z_ftr_diff,BLOCKED_MISSING_INPUT:days_rest_home,BLOCKED_MISSING_INPUT:spread_magnitude,BLOCKED_MISSING_INPUT:elevation_home
401812600,401812600,160,108,away,2025-11-09,2025-11-09 17:00:00+00:00,2026,,,,0.12082970180976615,,,,-3.053766666666665,-0.237762001352265,,,,,,,,,BLOCKED_MISSING_INPUT:opp_eFG,BLOCKED_MISSING_INPUT:opp_ORB%,BLOCKED_MISSING_INPUT:PEI,OK,BLOCKED_MISSING_INPUT:ICS,BLOCKED_MISSING_INPUT:lns_player,BLOCKED_MISSING_INPUT:SIE,OK,OK,"BLOCKED_MISSING_INPUT:missing_columns=star_rim_rate,star_midrange_rate,star_post_ups,opp3p_allowed,opp_rim_fg_allowed,opp_mid_fg_allowed,opp_post_ups_allowed",BLOCKED_MISSING_INPUT:opp_FTr,BLOCKED_MISSING_INPUT:VOL_l8_std,BLOCKED_MISSING_INPUT:z_pace_abs_dev_l12_mean,BLOCKED_MISSING_INPUT:z_ftr_diff,BLOCKED_MISSING_INPUT:days_rest_home,BLOCKED_MISSING_INPUT:spread_magnitude,BLOCKED_MISSING_INPUT:elevation_home
401828296,401828296,2097,2711,home,2025-11-09,2025-11-09 17:30:00+00:00,2026,,,,2.3570999192643267,,,,0.417215646258502,-0.3431330100641246,,,,,,,,,BLOCKED_MISSING_INPUT:opp_eFG,BLOCKED_MISSING_INPUT:opp_ORB%,BLOCKED_MISSING_INPUT:PEI,OK,BLOCKED_MISSING_INPUT:ICS,BLOCKED_MISSING_INPUT:lns_player,BLOCKED_MISSING_INPUT:SIE,OK,OK,"BLOCKED_MISSING_INPUT:missing_columns=star_rim_rate,star_midrange_rate,star_post_ups,opp3p_allowed,opp_rim_fg_allowed,opp_mid_fg_allowed,opp_post_ups_allowed",BLOCKED_MISSING_INPUT:opp_FTr,BLOCKED_MISSING_INPUT:VOL_l8_std,BLOCKED_MISSING_INPUT:z_pace_abs_dev_l12_mean,BLOCKED_MISSING_INPUT:z_ftr_diff,BLOCKED_MISSING_INPUT:days_rest_home,BLOCKED_MISSING_INPUT:spread_magnitude,BLOCKED_MISSING_INPUT:elevation_home
401828296,401828296,2711,2097,away,2025-11-09,2025-11-09 17:30:00+00:00,2026,,,,-0.8383708823686379,,,,3.2029454545454517,-0.2607673183437911,,,,,,,,,BLOCKED_MISSING_INPUT:opp_eFG,BLOCKED_MISSING_INPUT:opp_ORB%,BLOCKED_MISSING_INPUT:PEI,OK,BLOCKED_MISSING_INPUT:ICS,BLOCKED_MISSING_INPUT:lns_player,BLOCKED_MISSING_INPUT:SIE,OK,OK,"BLOCKED_MISSING_INPUT:missing_columns=star_rim_rate,star_midrange_rate,star_post_ups,opp3p_allowed,opp_rim_fg_allowed,opp_mid_fg_allowed,opp_post_ups_allowed",BLOCKED_MISSING_INPUT:opp_FTr,BLOCKED_MISSING_INPUT:VOL_l8_std,BLOCKED_MISSING_INPUT:z_pace_abs_dev_l12_mean,BLOCKED_MISSING_INPUT:z_ftr_diff,BLOCKED_MISSING_INPUT:days_rest_home,BLOCKED_MISSING_INPUT:spread_magnitude,BLOCKED_MISSING_INPUT:elevation_home
401812574,401812574,219,44,away,2025-11-09,2025-11-09 18:00:00+00:00,2026,,,,0.9386062988133645,,,,-3.8280399999999983,-0.2827198668839047,,,,,,,,,BLOCKED_MISSING_INPUT:opp_eFG,BLOCKED_MISSING_INPUT:opp_ORB%,BLOCKED_MISSING_INPUT:PEI,OK,BLOCKED_MISSING_INPUT:ICS,BLOCKED_MISSING_INPUT:lns_player,BLOCKED_MISSING_INPUT:SIE,OK,OK,"BLOCKED_MISSING_INPUT:missing_columns=star_rim_rate,star_midrange_rate,star_post_ups,opp3p_allowed,opp_rim_fg_allowed,opp_mid_fg_allowed,opp_post_ups_allowed",BLOCKED_MISSING_INPUT:opp_FTr,BLOCKED_MISSING_INPUT:VOL_l8_std,BLOCKED_MISSING_INPUT:z_pace_abs_dev_l12_mean,BLOCKED_MISSING_INPUT:z_ftr_diff,BLOCKED_MISSING_INPUT:days_rest_home,BLOCKED_MISSING_INPUT:spread_magnitude,BLOCKED_MISSING_INPUT:elevation_home
401812574,401812574,44,219,home,2025-11-09,2025-11-09 18:00:00+00:00,2026,,,,0.6407125232853796,,,,1.3626153846153857,-0.2851678343007823,,,,,,,,,BLOCKED_MISSING_INPUT:opp_eFG,BLOCKED_MISSING_INPUT:opp_ORB%,BLOCKED_MISSING_INPUT:PEI,OK,BLOCKED_MISSING_INPUT:ICS,BLOCKED_MISSING_INPUT:lns_player,BLOCKED_MISSING_INPUT:SIE,OK,OK,"BLOCKED_MISSING_INPUT:missing_columns=star_rim_rate,star_midrange_rate,star_post_ups,opp3p_allowed,opp_rim_fg_allowed,opp_mid_fg_allowed,opp_post_ups_allowed",BLOCKED_MISSING_INPUT:opp_FTr,BLOCKED_MISSING_INPUT:VOL_l8_std,BLOCKED_MISSING_INPUT:z_pace_abs_dev_l12_mean,BLOCKED_MISSING_INPUT:z_ftr_diff,BLOCKED_MISSING_INPUT:days_rest_home,BLOCKED_MISSING_INPUT:spread_magnitude,BLOCKED_MISSING_INPUT:elevation_home
401822758,401822758,2154,256,away,2025-11-09,2025-11-09 18:00:00+00:00,2026,,,,0.428631772903185,,,,0.41081650485436855,-0.3053301166177153,,,,,,,,,BLOCKED_MISSING_INPUT:opp_eFG,BLOCKED_MISSING_INPUT:opp_ORB%,BLOCKED_MISSING_INPUT:PEI,OK,BLOCKED_MISSING_INPUT:ICS,BLOCKED_MISSING_INPUT:lns_player,BLOCKED_MISSING_INPUT:SIE,OK,OK,"BLOCKED_MISSING_INPUT:missing_columns=star_rim_rate,star_midrange_rate,star_post_ups,opp3p_allowed,opp_rim_fg_allowed,opp_mid_fg_allowed,opp_post_ups_allowed",BLOCKED_MISSING_INPUT:opp_FTr,BLOCKED_MISSING_INPUT:VOL_l8_std,BLOCKED_MISSING_INPUT:z_pace_abs_dev_l12_mean,BLOCKED_MISSING_INPUT:z_ftr_diff,BLOCKED_MISSING_INPUT:days_rest_home,BLOCKED_MISSING_INPUT:spread_magnitude,BLOCKED_MISSING_INPUT:elevation_home
401822758,401822758,256,2154,home,2025-11-09,2025-11-09 18:00:00+00:00,2026,,,,1.6217307390985163,,,,-12.347560176991147,-0.2989820501160407,,,,,,,,,BLOCKED_MISSING_INPUT:opp_eFG,BLOCKED_MISSING_INPUT:opp_ORB%,BLOCKED_MISSING_INPUT:PEI,OK,BLOCKED_MISSING_INPUT:ICS,BLOCKED_MISSING_INPUT:lns_player,BLOCKED_MISSING_INPUT:SIE,OK,OK,"BLOCKED_MISSING_INPUT:missing_columns=star_rim_rate,star_midrange_rate,star_post_ups,opp3p_allowed,opp_rim_fg_allowed,opp_mid_fg_allowed,opp_post_ups_allowed",BLOCKED_MISSING_INPUT:opp_FTr,BLOCKED_MISSING_INPUT:VOL_l8_std,BLOCKED_MISSING_INPUT:z_pace_abs_dev_l12_mean,BLOCKED_MISSING_INPUT:z_ftr_diff,BLOCKED_MISSING_INPUT:days_rest_home,BLOCKED_MISSING_INPUT:spread_magnitude,BLOCKED_MISSING_INPUT:elevation_home
401823022,401823022,269,84,home,2025-11-09,2025-11-09 18:00:00+00:00,2026,,,,-0.6618101015350213,,,,-4.743733333333336,-0.2699723188262148,,,,,,,,,BLOCKED_MISSING_INPUT:opp_eFG,BLOCKED_MISSING_INPUT:opp_ORB%,BLOCKED_MISSING_INPUT:PEI,OK,BLOCKED_MISSING_INPUT:ICS,BLOCKED_MISSING_INPUT:lns_player,BLOCKED_MISSING_INPUT:SIE,OK,OK,"BLOCKED_MISSING_INPUT:missing_columns=star_rim_rate,star_midrange_rate,star_post_ups,opp3p_allowed,opp_rim_fg_allowed,opp_mid_fg_allowed,opp_post_ups_allowed",BLOCKED_MISSING_INPUT:opp_FTr,BLOCKED_MISSING_INPUT:VOL_l8_std,BLOCKED_MISSING_INPUT:z_pace_abs_dev_l12_mean,BLOCKED_MISSING_INPUT:z_ftr_diff,BLOCKED_MISSING_INPUT:days_rest_home,BLOCKED_MISSING_INPUT:spread_magnitude,BLOCKED_MISSING_INPUT:elevation_home
401823022,401823022,84,269,away,2025-11-09,2025-11-09 18:00:00+00:00,2026,,,,1.2378872283586055,,,,-0.22318730158730202,-0.3272885197777902,,,,,,,,,BLOCKED_MISSING_INPUT:opp_eFG,BLOCKED_MISSING_INPUT:opp_ORB%,BLOCKED_MISSING_INPUT:PEI,OK,BLOCKED_MISSING_INPUT:ICS,BLOCKED_MISSING_INPUT:lns_player,BLOCKED_MISSING_INPUT:SIE,OK,OK,"BLOCKED_MISSING_INPUT:missing_columns=star_rim_rate,star_midrange_rate,star_post_ups,opp3p_allowed,opp_rim_fg_allowed,opp_mid_fg_allowed,opp_post_ups_allowed",BLOCKED_MISSING_INPUT:opp_FTr,BLOCKED_MISSING_INPUT:VOL_l8_std,BLOCKED_MISSING_INPUT:z_pace_abs_dev_l12_mean,BLOCKED_MISSING_INPUT:z_ftr_diff,BLOCKED_MISSING_INPUT:days_rest_home,BLOCKED_MISSING_INPUT:spread_magnitude,BLOCKED_MISSING_INPUT:elevation_home
