event_id,game_datetime_utc,home_team_id,away_team_id,home_team_name,away_team_name,book,opening_spread,closing_spread,spread_line,opening_total,closing_total,total_line,moneyline_home,moneyline_away,source,source_file,source_priority,captured_at_utc,line_timestamp_utc,market_status
401825568,,130,127,Michigan Wolverines,Michigan State Spartans,consensus,,,,,,,,,ESPN,odds_snapshot.csv,1,2026-03-08 22:33:47.732296+00:00,2026-03-08 22:33:47.732296+00:00,MISSING
401825568,,130,127,Michigan Wolverines,Michigan State Spartans,consensus,,,,,,,,,ESPN,market_lines.csv,2,2026-03-08 22:33:47.732296+00:00,2026-03-08 22:33:47.732296+00:00,MISSING
401825568,,130,127,Michigan Wolverines,Michigan State Spartans,consensus,,,,,,,,,ESPN,market_lines_master.csv,4,2026-03-08 22:33:47.732296+00:00,2026-03-08 22:33:47.732296+00:00,MISSING
401825568,,130,127,Michigan Wolverines,Michigan State Spartans,consensus,,,,,,,,,ESPN,odds_snapshot.csv,1,2026-03-08 21:32:11.611604+00:00,2026-03-08 21:32:11.611604+00:00,MISSING
401825568,,130,127,Michigan Wolverines,Michigan State Spartans,consensus,,,,,,,,,ESPN,market_lines.csv,2,2026-03-08 21:32:11.611604+00:00,2026-03-08 21:32:11.611604+00:00,MISSING
401825568,,130,127,Michigan Wolverines,Michigan State Spartans,consensus,,,,,,,,,ESPN,market_lines_master.csv,4,2026-03-08 21:32:11.611604+00:00,2026-03-08 21:32:11.611604+00:00,MISSING
401825568,,130,127,Michigan Wolverines,Michigan State Spartans,consensus,,-10.5,-10.5,,152.5,152.5,,,ESPN,odds_snapshot.csv,1,2026-03-08 20:36:39.347304+00:00,2026-03-08 20:36:39.347304+00:00,OK
401825568,,130,127,Michigan Wolverines,Michigan State Spartans,consensus,,-10.5,-10.5,,152.5,152.5,,,ESPN,market_lines.csv,2,2026-03-08 20:36:39.347304+00:00,2026-03-08 20:36:39.347304+00:00,OK
401825568,,130,127,Michigan Wolverines,Michigan State Spartans,consensus,,-10.5,-10.5,,152.5,152.5,,,ESPN,market_lines_master.csv,4,2026-03-08 20:36:39.347304+00:00,2026-03-08 20:36:39.347304+00:00,OK
401825568,,130,127,Michigan Wolverines,Michigan State Spartans,consensus,,-10.5,-10.5,,152.5,152.5,,,ESPN,odds_snapshot.csv,1,2026-03-08 19:31:17.465337+00:00,2026-03-08 19:31:17.465337+00:00,OK
401825568,,130,127,Michigan Wolverines,Michigan State Spartans,consensus,,-10.5,-10.5,,152.5,152.5,,,ESPN,market_lines.csv,2,2026-03-08 19:31:17.465337+00:00,2026-03-08 19:31:17.465337+00:00,OK
401825568,,130,127,Michigan Wolverines,Michigan State Spartans,consensus,,-10.5,-10.5,,152.5,152.5,,,ESPN,market_lines_master.csv,4,2026-03-08 19:31:17.465337+00:00,2026-03-08 19:31:17.465337+00:00,OK
401825568,,130,127,Michigan Wolverines,Michigan State Spartans,consensus,,-9.5,-9.5,,152.5,152.5,,,ESPN,odds_snapshot.csv,1,2026-03-08 18:54:05.340049+00:00,2026-03-08 18:54:05.340049+00:00,OK
401825568,,130,127,Michigan Wolverines,Michigan State Spartans,consensus,,-9.5,-9.5,,152.5,152.5,,,ESPN,market_lines.csv,2,2026-03-08 18:54:05.340049+00:00,2026-03-08 18:54:05.340049+00:00,OK
401825568,,130,127,Michigan Wolverines,Michigan State Spartans,consensus,,-9.5,-9.5,,152.5,152.5,,,ESPN,market_lines_master.csv,4,2026-03-08 18:54:05.340049+00:00,2026-03-08 18:54:05.340049+00:00,OK
401825568,,130,127,Michigan Wolverines,Michigan State Spartans,consensus,,-9.5,-9.5,,151.5,151.5,,,ESPN,odds_snapshot.csv,1,2026-03-08 17:31:41.443935+00:00,2026-03-08 17:31:41.443935+00:00,OK
401825568,,130,127,Michigan Wolverines,Michigan State Spartans,consensus,,-9.5,-9.5,,151.5,151.5,,,ESPN,market_lines.csv,2,2026-03-08 17:31:41.443935+00:00,2026-03-08 17:31:41.443935+00:00,OK
401825568,,130,127,Michigan Wolverines,Michigan State Spartans,consensus,,-9.5,-9.5,,151.5,151.5,,,ESPN,market_lines_master.csv,4,2026-03-08 17:31:41.443935+00:00,2026-03-08 17:31:41.443935+00:00,OK
401825568,,130,127,Michigan Wolverines,Michigan State Spartans,consensus,,-9.5,-9.5,,151.5,151.5,,,ESPN,odds_snapshot.csv,1,2026-03-08 16:40:08.796004+00:00,2026-03-08 16:40:08.796004+00:00,OK
401825568,,130,127,Michigan Wolverines,Michigan State Spartans,consensus,,-9.5,-9.5,,151.5,151.5,,,ESPN,market_lines.csv,2,2026-03-08 16:40:08.796004+00:00,2026-03-08 16:40:08.796004+00:00,OK
401825568,,130,127,Michigan Wolverines,Michigan State Spartans,consensus,,-9.5,-9.5,,151.5,151.5,,,ESPN,market_lines_master.csv,4,2026-03-08 16:40:08.796004+00:00,2026-03-08 16:40:08.796004+00:00,OK
401825568,,130,127,Michigan Wolverines,Michigan State Spartans,consensus,,-9.5,-9.5,,150.5,150.5,,,ESPN,odds_snapshot.csv,1,2026-03-08 15:32:56.683403+00:00,2026-03-08 15:32:56.683403+00:00,OK
401825568,,130,127,Michigan Wolverines,Michigan State Spartans,consensus,,-9.5,-9.5,,150.5,150.5,,,ESPN,market_lines.csv,2,2026-03-08 15:32:56.683403+00:00,2026-03-08 15:32:56.683403+00:00,OK
