athlete_id,event_id,team_id,game_datetime_utc,min_l5,pts_l5,fgm_l5,fga_l5,tpm_l5,tpa_l5,ftm_l5,fta_l5,orb_l5,drb_l5,reb_l5,ast_l5,stl_l5,blk_l5,tov_l5,pf_l5,plus_minus_l5,efg_pct_l5,ts_pct_l5,fg_pct_l5,three_pct_l5,ft_pct_l5,usage_rate_l5,ast_tov_ratio_l5,pts_per_fga_l5,floor_pct_l5,pts_starter_l5,pts_bench_l5,min_starter_l5,min_bench_l5,efg_pct_starter_l5,efg_pct_bench_l5,usage_rate_starter_l5,usage_rate_bench_l5,pipeline_run_id
5037872,401828237,235,2026-02-20T00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5037872,401828240,235,2026-02-22T17:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5037875,401829250,2539,2026-02-19T04:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5037875,401829259,2539,2026-02-22T03:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5037876,401827687,2628,2026-02-18T00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5037876,401827697,2628,2026-02-21T22:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5037876,401827703,2628,2026-02-25T02:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,31.5,,50.0,,18.45,,22422478712
5037877,401825529,120,2026-02-21T20:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5037877,401825541,120,2026-02-26T00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5037878,401820750,258,2026-02-19T02:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5037878,401820760,258,2026-02-21T19:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5037878,401820763,258,2026-02-25T00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,14.5,,46.45,,7.95,22422478712
5037880,401830831,36,2026-02-19T04:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5037880,401823783,36,2026-02-21T23:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
