game_id,event_id,home_team_name,away_team_name,home_team_id,away_team_id,game_datetime_utc,capture_type,captured_at_utc,pulled_at_utc,verification_status,verification_notes,home_spread_open,home_spread_current,line_movement,total_open,total_current,pinnacle_spread,draftkings_spread,home_tickets_pct,away_tickets_pct,home_money_pct,away_money_pct,steam_flag,rlm_flag,rlm_sharp_side,rlm_note,book_disagreement_flag,book_spread_diff,book_sharp_side,book_note,line_freeze_flag,home_win_prob,away_win_prob,home_ats_wins,home_ats_losses,away_ats_wins,away_ats_losses,home_ml,away_ml,spread,dk_spread,total,over_under,book,market_type,source
401851331,401851331,Montana State Bobcats,Idaho Vandals,147,70,,closing,2026-03-09T05:50:32+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.57,0.43,,,,,,,,,,,consensus,spread,ESPN
401851332,401851332,Montana Grizzlies,Northern Colorado Bears,149,2458,2026-03-09T23:30Z,live,2026-03-09T23:45:07+00:00,2026-03-09T23:44:52.498306+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.358,0.642,,,,,,,,,,,consensus,spread,ESPN
401851333,401851333,Eastern Washington Eagles,Weber State Wildcats,331,2692,2026-03-10T02:00Z,live,2026-03-10T02:42:49+00:00,2026-03-10T02:42:40.466512+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.5,0.5,,,,,,,,,,,consensus,spread,ESPN
401851334,401851334,Portland State Vikings,TBD,2502,-2,,pregame,2026-03-09T22:38:56+00:00,2026-03-09T22:38:35.425157+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,,,,,,,,,,,,,consensus,spread,ESPN
401851335,401851335,TBD,Idaho Vandals,-1,70,,pregame,2026-03-09T22:38:59+00:00,2026-03-09T22:38:35.425157+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,,,,,,,,,,,,,consensus,spread,ESPN
401851353,401851353,High Point Panthers,Winthrop Eagles,2272,2737,,closing,2026-03-09T05:49:58+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.79,0.2099999999999999,,,,,,,,,,,consensus,spread,ESPN
401851362,401851362,Oregon Ducks,Maryland Terrapins,2483,120,,pregame,2026-03-09T22:38:45+00:00,2026-03-09T22:38:35.425157+00:00,verified,matched_espn_event,,-3.5,,,138.5,,,,,,,False,False,,,False,,,,False,,,,,,,,,,,,,consensus,spread,ESPN
401851363,401851363,Northwestern Wildcats,Penn State Nittany Lions,77,213,,pregame,2026-03-09T22:38:53+00:00,2026-03-09T22:38:35.425157+00:00,verified,matched_espn_event,,-6.5,,,148.5,,,,,,,False,False,,,False,,,,False,,,,,,,,,,,,,consensus,spread,ESPN
401851405,401851405,Florida International Panthers,Missouri State Bears,2229,2623,,pregame,2026-03-09T22:38:47+00:00,2026-03-09T22:38:35.425157+00:00,verified,matched_espn_event,,-1.5,,,154.5,,,,,,,False,False,,,False,,,,False,,,,,,,,,,,,,consensus,spread,ESPN
401851406,401851406,Jacksonville State Gamecocks,New Mexico State Aggies,55,166,,pregame,2026-03-09T22:38:56+00:00,2026-03-09T22:38:35.425157+00:00,verified,matched_espn_event,,1.5,,,141.5,,,,,,,False,False,,,False,,,,False,,,,,,,,,,,,,consensus,spread,ESPN
401851431,401851431,Green Bay Phoenix,Northern Kentucky Norse,2739,94,,closing,2026-03-09T05:50:13+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.406,0.594,,,,,,,,,,,consensus,spread,ESPN
401851432,401851432,Wright State Raiders,Northern Kentucky Norse,2750,94,2026-03-09T23:00Z,live,2026-03-09T23:45:05+00:00,2026-03-09T23:44:52.498306+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.611,0.389,,,,,,,,,,,consensus,spread,ESPN
401851433,401851433,Robert Morris Colonials,Detroit Mercy Titans,2523,2174,2026-03-10T01:50Z,pregame,2026-03-10T02:42:49+00:00,2026-03-10T02:42:40.466512+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.712,0.288,,,,,,,,,,,consensus,spread,ESPN
401851434,401851434,TBD,TBD,-1,-2,,pregame,2026-03-09T22:38:50+00:00,2026-03-09T22:38:35.425157+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,,,,,,,,,,,,,consensus,spread,ESPN
401851465,401851465,Merrimack Warriors,Marist Red Foxes,2771,2368,,closing,2026-03-09T05:50:20+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.553,0.4469999999999999,,,,,,,,,,,consensus,spread,ESPN
401851466,401851466,Siena Saints,Fairfield Stags,2561,2217,,closing,2026-03-09T05:50:28+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.596,0.404,,,,,,,,,,,consensus,spread,ESPN
401851467,401851467,Merrimack Warriors,Siena Saints,2771,2561,,pregame,2026-03-09T22:38:55+00:00,2026-03-09T22:38:35.425157+00:00,verified,matched_espn_event,,-3.5,,,127.5,,,,,,,False,False,,,False,,,,False,,,,,,,,,,,,,consensus,spread,ESPN
401851494,401851494,UIC Flames,Northern Iowa Panthers,82,2460,,closing,2026-03-09T05:49:56+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.345,0.655,,,,,,,,,,,consensus,spread,ESPN
401851521,401851521,Long Island University Sharks,Mercyhurst Lakers,112358,2385,,pregame,2026-03-09T22:38:49+00:00,2026-03-09T22:38:35.425157+00:00,verified,matched_espn_event,,-5.5,,,137.5,,,,,,,False,False,,,False,,,,False,,,,,,,,,,,,,consensus,spread,ESPN
401851547,401851547,Lehigh Mountain Hawks,Colgate Raiders,2329,2142,,closing,2026-03-09T05:49:55+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.456,0.544,,,,,,,,,,,consensus,spread,ESPN
401851548,401851548,Navy Midshipmen,Boston University Terriers,2426,104,,closing,2026-03-09T05:50:01+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.814,0.186,,,,,,,,,,,consensus,spread,ESPN
401851589,401851589,East Tennessee State Buccaneers,Western Carolina Catamounts,2193,2717,,closing,2026-03-09T05:50:14+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.696,0.304,,,,,,,,,,,consensus,spread,ESPN
401851591,401851591,Furman Paladins,UNC Greensboro Spartans,231,2430,,closing,2026-03-09T05:50:21+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.728,0.272,,,,,,,,,,,consensus,spread,ESPN
401851593,401851593,East Tennessee State Buccaneers,Furman Paladins,2193,231,2026-03-09T23:00Z,live,2026-03-09T23:45:04+00:00,2026-03-09T23:44:52.498306+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.598,0.402,,,,,,,,,,,consensus,spread,ESPN
401851602,401851602,New Orleans Privateers,Houston Christian Huskies,2443,2277,,closing,2026-03-09T05:50:18+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.701,0.299,,,,,,,,,,,consensus,spread,ESPN
401851604,401851604,Nicholls Colonels,Northwestern State Demons,2447,2466,,closing,2026-03-09T05:50:27+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.637,0.363,,,,,,,,,,,consensus,spread,ESPN
401851607,401851607,Texas A&M-Corpus Christi Islanders,New Orleans Privateers,357,2443,2026-03-09T22:00Z,live,2026-03-09T23:45:01+00:00,2026-03-09T23:44:52.498306+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.598,0.402,,,,,,,,,,,consensus,spread,ESPN
401851608,401851608,UT Rio Grande Valley Vaqueros,Nicholls Colonels,292,2447,2026-03-10T00:50Z,live,2026-03-10T02:42:48+00:00,2026-03-10T02:42:40.466512+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.685,0.3149999999999999,,,,,,,,,,,consensus,spread,ESPN
401851611,401851611,Stephen F. Austin Lumberjacks,TBD,2617,-2,,pregame,2026-03-09T22:38:48+00:00,2026-03-09T22:38:35.425157+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,,,,,,,,,,,,,consensus,spread,ESPN
401851612,401851612,McNeese Cowboys,TBD,2377,-2,,pregame,2026-03-09T22:38:57+00:00,2026-03-09T22:38:35.425157+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,,,,,,,,,,,,,consensus,spread,ESPN
401851629,401851629,North Dakota State Bison,North Dakota Fighting Hawks,2449,155,,closing,2026-03-09T05:50:31+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.823,0.177,,,,,,,,,,,consensus,spread,ESPN
401851704,401851704,Troy Trojans,Southern Miss Golden Eagles,2653,2572,,closing,2026-03-09T05:50:17+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.726,0.274,,,,,,,,,,,consensus,spread,ESPN
401851705,401851705,Marshall Thundering Herd,Georgia Southern Eagles,276,290,,closing,2026-03-09T05:50:29+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.618,0.382,,,,,,,,,,,consensus,spread,ESPN
401851706,401851706,Troy Trojans,Georgia Southern Eagles,2653,290,2026-03-09T23:00Z,live,2026-03-09T23:45:02+00:00,2026-03-09T23:44:52.498306+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.696,0.304,,,,,,,,,,,consensus,spread,ESPN
401851714,401851714,Alabama State Hornets,Alcorn State Braves,2011,2016,,pregame,2026-03-09T19:04:19+00:00,2026-03-09T19:04:12.905997+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.716,0.284,,,,,,,,,,,consensus,spread,ESPN
401851715,401851715,Grambling Tigers,Mississippi Valley State Delta Devils,2755,2400,2026-03-10T00:30Z,pregame,2026-03-09T23:45:11+00:00,2026-03-09T23:44:52.498306+00:00,verified,matched_espn_event,,-13.5,,,135.5,,,,,,,False,False,,,False,,,,False,,,,,,,,,,,,,consensus,spread,ESPN
401851716,401851716,Prairie View A&M Panthers,Alcorn State Braves,2504,2016,,pregame,2026-03-09T22:38:42+00:00,2026-03-09T22:38:35.425157+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,,,,,,,,,,,,,consensus,spread,ESPN
401851717,401851717,Jackson State Tigers,TBD,2296,-2,,pregame,2026-03-09T22:38:53+00:00,2026-03-09T22:38:35.425157+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,,,,,,,,,,,,,consensus,spread,ESPN
401851756,401851756,Oregon State Beavers,San Francisco Dons,204,2539,,closing,2026-03-09T05:50:25+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.296,0.704,,,,,,,,,,,consensus,spread,ESPN
401851757,401851757,Santa Clara Broncos,Pacific Tigers,2541,279,,closing,2026-03-09T05:50:34+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.883,0.1169999999999999,,,,,,,,,,,consensus,spread,ESPN
401851759,401851759,Gonzaga Bulldogs,Oregon State Beavers,2250,204,2026-03-10T01:00Z,live,2026-03-10T02:42:47+00:00,2026-03-10T02:42:40.466512+00:00,verified,matched_espn_event,,,,,,-20.5,-20.5,,,,,False,False,,,False,0.0,,,False,0.976,0.024,,,,,,,,,,,consensus,spread,ESPN
401851760,401851760,Saint Mary's Gaels,Santa Clara Broncos,2608,2541,2026-03-10T03:30Z,pregame,2026-03-10T02:42:50+00:00,2026-03-10T02:42:40.466512+00:00,verified,matched_espn_event,,-4.5,,,150.5,-4.5,-4.5,,,,,False,False,,,False,0.0,,,False,,,,,,,,,,,,,consensus,spread,ESPN
401851762,401851762,TBD,TBD,-1,-2,,pregame,2026-03-09T22:38:54+00:00,2026-03-09T22:38:35.425157+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,,,,,,,,,,,,,consensus,spread,ESPN
401856427,401856427,UNC Wilmington Seahawks,Campbell Fighting Camels,350,2097,,closing,2026-03-09T05:49:53+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.74,0.26,,,,,,,,,,,consensus,spread,ESPN
401856428,401856428,Monmouth Hawks,Drexel Dragons,2405,2182,,closing,2026-03-09T05:50:07+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.572,0.428,,,,,,,,,,,consensus,spread,ESPN
401856429,401856429,Charleston Cougars,Towson Tigers,232,119,,closing,2026-03-09T05:50:15+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.493,0.507,,,,,,,,,,,consensus,spread,ESPN
401856430,401856430,Hofstra Pride,William & Mary Tribe,2275,2729,,closing,2026-03-09T05:50:24+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.627,0.373,,,,,,,,,,,consensus,spread,ESPN
401856431,401856431,Monmouth Hawks,Campbell Fighting Camels,2405,2097,2026-03-09T22:00Z,live,2026-03-09T23:44:59+00:00,2026-03-09T23:44:52.498306+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.498,0.502,,,,,,,,,,,consensus,spread,ESPN
401856432,401856432,Hofstra Pride,Towson Tigers,2275,119,2026-03-10T00:30Z,live,2026-03-10T02:42:48+00:00,2026-03-10T02:42:40.466512+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.658,0.3419999999999999,,,,,,,,,,,consensus,spread,ESPN
401856433,401856433,TBD,TBD,-1,-2,,pregame,2026-03-09T22:38:48+00:00,2026-03-09T22:38:35.425157+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,,,,,,,,,,,,,consensus,spread,ESPN
