kenpom_rank,team_name,conference,games,wins,losses,adj_o,adj_d,adj_em,barthag,seed,efg_pct,efgd_pct,tor,tord,orb_pct,drb_pct,ftr,ftrd,two_p_pct,two_pd_pct,three_p_pct,three_pd_pct,three_pr,three_prd,adj_tempo,wab
93,High Point,BSth,34,30,4,115.7,107.5,8.2,0.6993,12.0,54.7,50.1,13.0,21.9,32.1,31.7,42.9,36.4,57.1,51.6,34.4,31.9,42.9,41.4,69.9,-1.4
94,Xavier,BE,33,15,18,117.3,109.3,8.0,0.692,,51.8,54.1,13.9,15.5,26.5,29.5,28.1,32.6,49.8,55.3,36.5,34.8,40.6,36.9,70.3,-5.0
95,Wyoming,MWC,32,18,14,115.1,107.4,7.7,0.6897,,52.0,52.2,16.4,16.7,34.7,27.5,35.6,48.4,54.1,53.7,32.9,33.0,43.0,36.2,66.1,-5.3
96,Cal Baptist,WAC,33,25,8,107.5,100.3,7.2,0.689,13.0,48.6,46.4,18.1,17.1,37.8,27.2,36.1,37.1,47.7,47.3,33.7,29.7,32.1,31.7,65.9,-2.3
97,Notre Dame,ACC,31,13,18,115.0,107.4,7.6,0.6878,,52.3,51.8,17.0,14.0,31.2,26.7,34.1,36.2,51.4,53.6,35.6,33.2,43.5,47.4,66.0,-5.6
98,Saint Joseph's,A10,33,22,11,108.4,101.3,7.1,0.6844,,49.3,47.6,16.9,15.2,31.4,30.9,30.4,26.3,51.9,47.5,30.8,31.8,45.3,39.9,68.0,-4.0
99,Mississippi St.,SEC,32,13,19,112.9,105.5,7.4,0.6838,,51.5,50.9,16.1,12.8,29.8,30.7,30.7,32.3,53.4,51.0,32.4,33.9,40.1,39.5,69.5,-5.6
100,South Carolina,SEC,32,13,19,111.8,104.6,7.2,0.681,,50.3,51.6,14.5,14.6,27.2,32.1,36.7,34.0,53.2,53.7,31.1,31.8,44.4,35.8,66.3,-6.1
101,DePaul,BE,32,16,16,106.8,100.0,6.8,0.6793,,49.8,49.3,17.8,18.6,30.0,31.1,35.3,37.8,50.5,47.3,32.5,35.4,39.0,33.9,66.5,-5.1
102,Kansas St.,B12,32,12,20,112.7,105.6,7.1,0.6787,,53.3,52.5,17.4,17.1,29.2,33.9,26.9,35.2,52.4,53.7,36.4,33.7,40.9,38.6,72.7,-6.6
103,Pittsburgh,ACC,33,13,20,112.6,105.6,7.0,0.6784,,51.0,53.4,17.3,16.2,33.9,28.1,30.4,30.9,51.7,53.7,33.4,35.2,42.6,41.0,63.7,-7.2
104,Seattle,WCC,33,20,13,102.6,96.5,6.1,0.6709,,49.4,48.3,17.0,21.1,24.6,31.8,34.5,32.9,49.7,48.2,32.6,32.4,39.0,37.4,67.7,-5.3
105,Davidson,A10,33,20,13,110.1,103.7,6.4,0.667,,52.6,50.4,16.1,17.8,28.6,30.4,31.8,36.6,52.2,51.6,35.3,32.3,44.0,37.1,63.6,-5.8
106,Sam Houston St.,CUSA,33,22,11,113.9,107.2,6.7,0.667,,52.4,51.0,16.7,16.4,36.0,30.0,34.7,37.1,50.4,52.9,37.3,32.3,36.0,41.6,70.0,-5.3
107,Pacific,WCC,33,18,15,110.5,104.1,6.4,0.6646,,52.2,50.0,20.1,15.1,35.3,25.0,30.5,36.3,51.3,48.5,35.8,34.7,35.3,42.8,64.4,-6.8
108,UC Irvine,BW,34,23,11,104.5,98.6,5.9,0.6594,,49.7,45.4,17.9,18.5,31.1,31.5,35.8,26.8,49.2,42.7,33.9,33.3,28.2,37.8,68.2,-5.8
109,UNLV,MWC,33,17,16,115.5,109.2,6.3,0.6573,,53.3,52.6,16.9,17.3,31.0,31.5,41.7,45.3,53.6,52.3,35.3,35.4,35.9,36.8,69.9,-6.0
110,St. Thomas,Sum,33,24,9,113.9,107.9,6.0,0.6515,,59.4,50.9,13.8,17.1,22.3,27.1,34.4,30.4,63.6,53.5,36.4,31.4,46.5,41.2,68.4,-5.0
111,Illinois St.,MVC,32,20,12,109.2,103.5,5.7,0.6513,,53.6,50.0,16.8,16.4,28.6,25.3,31.8,33.1,54.6,49.9,34.8,33.4,42.4,34.5,66.8,-5.8
112,Illinois Chicago,MVC,34,19,15,109.6,103.9,5.7,0.6505,,49.7,49.9,17.6,19.6,36.5,32.1,36.5,34.3,50.7,50.6,31.7,32.7,33.0,46.3,66.3,-8.6
113,Maryland,B10,33,12,21,111.8,105.9,5.9,0.6499,,48.1,54.4,18.6,14.9,33.8,29.1,36.4,35.8,48.6,54.4,31.7,36.3,46.9,43.1,66.3,-5.4
