kenpom_rank,team_name,conference,games,wins,losses,adj_o,adj_d,adj_em,barthag,seed,efg_pct,efgd_pct,tor,tord,orb_pct,drb_pct,ftr,ftrd,two_p_pct,two_pd_pct,three_p_pct,three_pd_pct,three_pr,three_prd,adj_tempo,wab
190,Youngstown St.,Horz,32,15,17,106.3,108.3,-2.0,0.4479,,53.7,52.3,18.8,17.8,30.4,30.7,31.4,36.0,56.6,51.7,33.8,35.5,49.4,34.3,67.3,-12.6
191,Louisiana Tech,CUSA,34,20,14,103.2,105.1,-1.9,0.4475,,47.4,48.7,18.3,17.8,36.4,31.6,33.1,36.3,49.7,46.7,28.5,33.9,33.4,46.8,63.9,-9.3
192,Charleston,CAA,32,21,11,106.7,108.7,-2.0,0.4472,,50.5,49.2,15.7,14.7,29.9,32.3,41.2,26.1,53.4,49.5,30.6,32.6,38.1,43.7,67.7,-6.2
193,Cal St. Fullerton,BW,34,18,16,107.6,109.7,-2.1,0.445,,51.4,54.3,15.2,19.5,24.6,28.3,37.8,35.3,51.4,57.1,34.2,34.0,43.1,46.4,72.9,-9.3
194,New Mexico St.,CUSA,32,16,16,108.1,110.2,-2.1,0.4443,,48.5,48.7,15.0,14.7,32.5,30.3,34.9,44.2,48.5,48.8,32.4,32.4,38.7,41.3,66.6,-11.4
195,Furman,SC,34,22,12,106.9,109.0,-2.1,0.4442,15.0,54.8,50.1,17.8,13.7,31.0,27.5,32.1,28.9,59.0,50.9,33.3,32.6,46.3,41.9,65.8,-8.7
196,South Alabama,SB,32,21,11,107.1,109.3,-2.2,0.4432,,52.7,50.0,13.2,18.2,25.2,31.3,39.2,25.3,53.3,50.9,34.5,33.0,36.6,64.3,64.6,-7.5
197,East Tennessee St.,SC,34,23,11,107.8,110.1,-2.3,0.442,,55.3,51.0,15.2,18.5,28.3,27.9,35.0,36.4,57.2,52.6,34.7,32.9,37.8,47.7,66.0,-7.4
198,Queens,ASun,34,21,13,114.7,117.1,-2.4,0.4399,15.0,56.6,54.0,14.8,15.0,30.4,33.0,36.3,38.7,59.0,54.1,35.9,35.8,46.8,39.5,69.5,-7.0
199,Missouri St.,CUSA,34,16,18,109.3,111.7,-2.4,0.4377,,51.1,52.0,16.7,16.9,32.0,32.1,43.8,40.2,52.2,52.3,33.0,34.4,41.3,35.8,65.3,-12.9
200,New Orleans,Slnd,33,15,18,108.6,111.1,-2.5,0.4355,,49.6,49.0,20.5,14.9,35.6,34.5,46.4,39.5,50.6,49.3,31.8,32.4,33.7,40.2,69.8,-10.6
201,Tulane,Amer,33,18,15,107.5,110.1,-2.6,0.4322,,49.4,50.7,15.4,17.1,22.8,35.8,43.5,38.1,50.5,50.0,32.0,34.5,45.0,40.5,66.9,-9.1
202,Drexel,CAA,33,17,16,102.6,105.1,-2.5,0.4311,,50.7,47.1,19.0,16.4,31.2,31.0,31.6,35.4,49.0,47.9,35.5,30.3,40.0,34.1,64.2,-11.8
203,Weber St.,BSky,32,16,16,111.1,113.8,-2.7,0.4304,,51.7,54.5,15.7,16.3,31.8,27.7,39.2,36.4,51.6,57.1,34.5,33.5,32.8,38.8,68.5,-10.6
204,Jacksonville St.,CUSA,32,15,17,105.3,108.0,-2.7,0.428,,49.7,49.6,17.0,16.2,29.8,28.0,43.1,38.7,47.4,49.3,35.7,33.3,38.1,42.9,65.1,-12.9
205,Howard,MEAC,33,23,10,103.5,106.2,-2.7,0.4251,16.0,50.6,47.4,19.8,21.3,36.6,32.0,44.2,38.3,49.9,48.3,34.7,30.4,34.3,34.0,69.0,-6.9
206,Columbia,Ivy,28,16,12,107.9,110.8,-2.9,0.4241,,53.5,51.2,19.3,15.0,36.1,27.2,28.6,33.5,53.2,50.3,35.9,35.2,37.5,36.0,66.8,-7.8
207,Indiana St.,MVC,32,11,21,105.9,108.8,-2.9,0.4239,,52.8,50.2,19.5,14.9,26.2,31.8,27.4,28.8,57.4,52.0,31.5,31.3,45.2,34.4,68.2,-14.7
208,Marist,MAAC,31,19,12,99.6,102.5,-2.9,0.4189,,49.3,45.6,16.9,19.5,29.1,28.3,25.7,37.6,49.8,47.1,32.2,28.6,34.6,36.8,66.2,-9.3
209,Mercer,SC,32,19,13,110.7,114.0,-3.3,0.4165,,53.1,52.5,15.0,17.0,32.6,33.2,39.2,29.7,53.0,51.3,35.6,36.2,39.2,42.1,68.9,-8.5
210,James Madison,SB,33,18,15,109.1,112.4,-3.3,0.4152,,53.1,49.0,17.3,12.8,30.6,29.5,35.9,40.8,53.2,48.9,35.4,32.7,42.5,38.2,66.0,-10.4
211,Rice,Amer,31,13,18,109.0,112.6,-3.6,0.4084,,48.5,51.0,17.9,15.7,35.3,34.6,33.9,40.4,46.2,51.0,34.3,34.0,44.1,35.5,65.6,-12.3
212,Marshall,SB,32,19,13,111.9,115.7,-3.8,0.4049,,54.8,50.3,16.6,16.3,31.9,33.8,29.2,41.1,54.6,50.3,36.8,33.6,44.3,39.6,69.4,-8.5
213,San Jose St.,MWC,33,9,24,112.7,116.6,-3.9,0.4045,,49.7,57.1,15.1,17.4,29.3,36.5,33.4,35.3,47.6,59.1,35.3,36.0,38.3,39.3,65.0,-13.9
214,Drake,MVC,34,14,20,109.5,113.3,-3.8,0.4032,,51.4,52.6,15.0,14.6,26.6,29.9,33.5,32.0,51.7,51.1,34.0,36.4,45.7,43.3,67.1,-13.6
215,La Salle,A10,32,9,23,106.0,109.7,-3.7,0.4027,,45.4,55.0,18.2,17.1,33.7,32.4,37.5,31.5,45.6,55.1,30.0,36.5,31.5,42.2,65.8,-14.8
216,San Diego,WCC,33,12,21,108.5,112.3,-3.8,0.4023,,51.2,54.7,17.5,18.9,28.1,34.5,25.8,38.8,50.8,58.5,34.6,32.7,43.7,40.1,68.1,-13.4
217,Cal Poly,BW,33,14,19,109.5,113.3,-3.8,0.4018,,51.5,53.8,19.9,16.2,30.0,29.6,34.9,34.1,53.7,55.0,33.0,34.7,52.6,40.8,74.1,-12.4
218,Tennessee St.,OVC,32,23,9,107.8,111.9,-4.1,0.3951,15.0,50.1,51.2,16.5,20.0,34.9,29.9,33.5,41.6,49.9,51.8,33.7,33.5,30.7,36.0,70.1,-5.6
219,Southern Miss,SB,35,19,16,104.6,108.8,-4.2,0.3884,,49.0,51.4,18.4,17.8,32.5,28.8,43.2,43.6,51.3,51.1,28.9,34.5,28.7,39.4,69.1,-10.9
220,Buffalo,MAC,32,17,15,111.2,115.7,-4.5,0.3883,,55.4,55.1,16.1,17.9,27.1,31.1,39.6,31.4,54.1,56.9,37.9,35.1,45.5,42.0,66.5,-10.4
221,Quinnipiac,MAAC,32,19,13,103.7,107.9,-4.2,0.3882,,48.2,48.9,15.9,17.4,34.1,32.0,33.8,30.6,46.7,47.1,34.0,34.9,33.7,35.4,70.1,-8.6
222,South Dakota St.,Sum,32,14,18,107.5,111.9,-4.4,0.3862,,52.0,51.8,16.1,14.5,30.3,25.1,29.7,34.5,52.7,52.4,34.0,34.1,38.8,47.0,67.0,-12.7
223,Western Carolina,SC,31,15,16,109.4,114.0,-4.6,0.3833,,50.4,54.9,16.8,14.5,35.4,26.3,31.3,37.8,50.6,54.8,33.5,36.7,40.9,43.7,67.9,-10.7
224,Bethune Cookman,SWAC,32,17,15,104.1,108.6,-4.5,0.3812,,51.0,49.7,19.2,15.8,30.1,31.7,40.9,38.6,51.6,49.9,33.0,32.9,29.7,33.1,69.0,-8.5
225,Tarleton St.,WAC,32,14,18,103.3,107.8,-4.5,0.381,,48.3,53.6,20.0,23.4,31.5,35.1,41.9,47.7,48.2,54.4,32.5,34.9,24.2,40.7,69.5,-11.9
226,Ohio,MAC,32,15,17,108.3,113.2,-4.9,0.3757,,50.9,53.0,15.5,16.1,28.4,32.8,36.9,38.2,54.5,51.9,30.1,36.8,38.1,33.6,68.9,-11.5
227,Stony Brook,CAA,32,17,15,105.2,110.2,-5.0,0.37,,50.2,50.7,16.8,17.1,28.0,32.4,28.4,35.4,48.5,48.8,34.8,35.7,45.8,39.8,66.2,-10.7
228,Texas St.,SB,32,19,13,104.4,109.6,-5.2,0.3647,,50.0,52.0,18.6,18.5,33.9,28.4,34.0,39.1,50.5,51.1,32.2,35.7,24.6,37.5,66.1,-9.7
229,Georgia Southern,SB,37,21,16,110.0,115.9,-5.9,0.3547,,51.4,52.3,14.6,18.7,28.8,35.2,39.6,41.4,52.7,52.9,33.4,34.3,48.9,39.5,70.1,-12.0
230,Coastal Carolina,SB,32,19,13,101.8,107.5,-5.7,0.3492,,47.9,46.8,15.2,12.3,26.9,27.6,32.3,34.9,46.1,45.5,33.5,32.8,43.1,35.7,67.1,-8.9
231,Denver,Sum,32,15,17,115.0,121.4,-6.4,0.349,,53.6,56.0,14.3,13.0,29.8,32.8,34.1,36.8,52.6,56.6,36.8,36.7,38.6,37.0,68.0,-10.9
232,Samford,SC,32,18,14,107.8,113.9,-6.1,0.3472,,53.1,51.9,13.4,13.0,25.3,25.7,41.9,32.9,52.8,50.3,35.6,36.5,45.7,35.9,67.3,-9.8
233,Lipscomb,ASun,32,19,13,105.0,111.1,-6.1,0.3449,,54.1,53.2,16.0,17.7,25.8,30.2,26.0,29.0,54.5,54.3,35.7,34.3,47.9,40.2,69.5,-7.8
234,Old Dominion,SB,33,12,21,106.2,112.5,-6.3,0.3413,,50.7,50.8,15.4,14.5,26.0,30.3,34.7,42.0,48.8,52.4,36.0,32.0,36.2,36.4,68.9,-15.4
235,LIU,NEC,34,24,10,103.6,109.8,-6.2,0.3404,16.0,53.3,49.8,19.0,18.9,34.3,32.6,34.7,34.1,52.9,50.8,36.1,31.9,29.0,33.2,67.8,-5.8
236,Eastern Michigan,MAC,31,10,21,101.6,107.7,-6.1,0.3382,,49.6,50.3,17.4,15.6,27.8,29.1,29.3,35.5,50.0,50.8,32.4,32.9,31.8,35.6,66.5,-14.7
237,Florida Gulf Coast,ASun,34,16,18,105.2,111.5,-6.3,0.3371,,52.0,53.4,15.9,16.5,31.1,28.2,29.1,38.3,53.3,53.6,33.2,35.4,38.4,46.2,67.6,-13.4
238,Nebraska Omaha,Sum,33,16,17,106.1,112.6,-6.5,0.3345,,52.2,52.7,16.1,14.1,25.5,28.7,34.5,33.6,53.0,55.6,34.0,32.9,40.9,45.5,67.1,-12.3
239,Long Beach St.,BW,32,10,22,104.3,110.8,-6.5,0.3321,,50.6,53.7,18.0,17.5,26.2,27.8,30.7,42.3,51.5,54.8,32.7,34.4,34.8,35.3,68.4,-15.7
240,Saint Peter's,MAAC,29,17,12,103.2,109.8,-6.6,0.3297,,46.4,48.1,17.7,20.0,37.0,34.7,35.5,46.4,46.2,48.0,31.0,32.1,38.7,35.5,65.5,-8.4
241,Radford,BSth,32,16,16,106.4,113.2,-6.8,0.3277,,51.3,53.0,17.1,18.5,29.8,32.2,42.4,40.0,52.3,52.9,33.5,35.5,45.4,37.9,70.7,-11.8
242,Iona,MAAC,32,18,14,104.0,110.9,-6.9,0.3239,,51.9,48.9,17.2,16.6,27.8,31.2,29.3,28.8,51.2,51.0,35.1,30.6,45.9,40.7,69.1,-10.4
243,American,Pat,32,16,16,105.2,112.2,-7.0,0.3235,,51.5,54.4,15.6,19.2,26.9,29.4,28.7,42.1,53.3,55.1,33.0,35.5,46.5,37.0,66.7,-11.6
244,Central Michigan,MAC,31,10,21,106.5,113.6,-7.1,0.3233,,51.8,54.0,18.1,17.0,29.2,34.3,31.4,39.0,52.2,54.4,33.9,35.5,34.0,38.4,67.1,-15.4
245,Boston University,Pat,34,17,17,111.7,119.2,-7.5,0.3223,,57.5,53.6,17.8,13.0,28.0,28.0,31.4,30.5,56.9,52.8,38.8,36.6,43.8,40.6,63.1,-13.7
246,Colgate,Pat,33,18,15,107.4,114.7,-7.3,0.3193,,53.3,52.2,14.6,15.3,26.6,29.3,29.7,33.8,53.2,52.2,35.6,34.8,35.0,41.7,66.8,-10.0
247,UC Riverside,BW,32,10,22,103.6,110.7,-7.1,0.3192,,48.9,52.7,19.0,15.5,27.8,30.0,35.0,40.9,49.9,53.8,31.6,33.5,38.3,31.7,68.5,-15.3
248,Nicholls St.,Slnd,33,14,19,104.8,112.0,-7.2,0.3179,,50.6,54.4,17.4,20.5,28.1,33.7,34.5,37.9,51.2,56.0,33.3,34.6,43.9,38.7,68.3,-12.8
249,Southern,SWAC,34,17,17,106.1,113.4,-7.3,0.3169,,49.1,53.2,16.5,18.6,31.4,31.3,39.8,42.9,47.7,52.1,34.8,36.7,32.1,37.5,69.8,-10.9
250,Southeast Missouri St.,OVC,33,20,13,101.1,108.2,-7.1,0.3145,,49.8,48.8,16.9,18.1,29.6,28.2,38.8,48.0,51.8,48.4,30.9,33.1,36.0,33.2,68.9,-9.3
251,Charleston Southern,BSth,32,15,17,104.9,112.2,-7.3,0.3142,,54.1,46.9,18.5,12.8,29.4,30.3,30.5,43.3,54.6,46.6,35.6,31.9,49.5,31.3,71.6,-13.3
252,Princeton,Ivy,29,9,20,105.0,112.4,-7.4,0.3137,,49.6,52.0,17.1,14.3,27.2,28.5,34.6,34.0,48.6,55.7,33.9,31.1,44.5,41.4,63.9,-14.9
253,Lamar,Slnd,31,12,19,102.8,110.1,-7.3,0.3121,,47.8,50.9,18.1,17.3,35.7,29.4,27.9,44.4,47.0,49.7,32.9,35.3,33.9,37.5,65.4,-14.1
254,Pepperdine,WCC,32,9,23,105.7,113.3,-7.6,0.3106,,47.6,54.2,18.3,16.5,29.1,34.0,33.8,28.5,48.0,54.9,31.4,35.5,39.2,40.3,68.4,-15.1
255,Abilene Christian,WAC,33,14,19,99.8,107.0,-7.2,0.3104,,47.5,56.5,20.8,23.4,31.0,29.1,41.7,53.5,48.0,54.4,31.0,40.9,32.8,30.0,67.4,-12.7
256,Vermont,AE,34,22,12,104.8,112.5,-7.7,0.3084,,53.1,50.4,14.3,14.8,26.2,23.0,31.1,36.4,55.7,48.6,33.3,35.3,44.6,41.2,64.7,-9.4
257,UNC Asheville,BSth,32,15,17,103.7,111.3,-7.6,0.3077,,51.0,51.3,17.4,15.5,29.8,31.3,40.0,38.7,50.1,52.8,35.1,32.6,33.6,38.4,64.8,-12.7
258,Fairfield,MAAC,34,21,13,105.4,113.1,-7.7,0.3075,,48.8,51.0,15.3,16.8,35.8,29.1,27.7,30.4,48.2,50.8,33.2,34.3,35.4,35.9,67.1,-9.9
259,East Carolina,Amer,31,11,20,103.6,111.3,-7.7,0.3056,,46.4,52.3,17.1,16.2,33.4,32.5,39.2,32.2,47.5,52.2,29.3,34.9,31.1,38.8,68.7,-13.8
260,Idaho St.,BSky,33,13,20,108.8,116.9,-8.1,0.3036,,51.8,54.5,17.0,14.7,32.8,27.9,37.9,38.0,52.9,56.1,33.6,34.5,41.9,37.0,65.2,-14.1
261,SIU Edwardsville,OVC,32,19,13,98.9,106.4,-7.5,0.3018,,49.5,45.6,17.9,17.0,30.1,31.6,30.6,34.3,47.8,45.8,35.0,30.2,36.2,38.4,64.4,-10.6
262,Southern Utah,WAC,32,10,22,106.4,114.5,-8.1,0.2995,,50.7,53.2,20.3,14.8,28.8,33.6,33.1,29.8,51.4,51.7,33.0,38.0,35.5,29.5,70.4,-15.5
263,Tennessee Martin,OVC,33,22,11,98.0,105.5,-7.5,0.2983,,48.7,46.1,21.4,20.0,37.0,32.0,37.4,35.8,51.5,46.7,30.3,30.2,47.1,39.5,64.3,-8.0
264,Elon,CAA,32,14,18,108.0,116.4,-8.4,0.2975,,52.2,54.0,15.9,16.4,32.2,33.5,33.5,34.6,52.8,53.3,34.3,36.5,43.2,44.5,66.8,-13.2
265,Purdue Fort Wayne,Horz,32,17,15,104.9,113.4,-8.5,0.292,,52.6,56.1,14.5,19.1,22.9,34.5,30.6,28.5,53.7,55.5,34.2,37.9,45.3,44.1,67.7,-9.3
266,Sacramento St.,BSky,31,10,21,105.5,114.1,-8.6,0.2893,,47.0,55.0,14.1,17.1,25.2,33.4,41.2,36.2,46.6,56.8,31.9,35.2,35.6,43.7,71.7,-14.7
267,North Dakota,Sum,35,18,17,106.7,115.4,-8.7,0.2887,,49.4,56.5,14.1,19.4,27.4,32.4,37.8,43.8,49.7,57.2,32.7,37.1,40.6,42.9,67.3,-11.3
268,Wofford,SC,32,19,13,108.1,117.0,-8.9,0.2866,,52.5,53.8,13.4,14.9,29.8,29.0,36.2,36.8,52.5,53.4,35.0,36.4,43.1,38.0,67.8,-9.5
269,UTEP,CUSA,31,11,20,101.1,109.7,-8.6,0.2826,,48.3,51.5,17.4,18.0,26.2,32.8,33.4,42.0,46.5,51.9,33.9,34.0,40.3,37.5,65.2,-14.8
270,Longwood,BSth,32,16,16,103.0,111.8,-8.8,0.2822,,49.7,53.8,19.1,19.8,34.6,27.7,41.3,42.1,51.1,56.1,31.4,33.8,34.8,42.6,68.5,-12.7
271,Lindenwood,OVC,33,18,15,100.2,108.7,-8.5,0.2806,,48.0,49.1,18.7,18.4,33.2,31.8,38.6,37.4,49.6,49.4,29.4,32.4,30.7,32.9,72.4,-11.2
272,Dartmouth,Ivy,27,11,16,104.5,113.5,-9.0,0.2804,,51.8,52.7,17.6,13.8,23.7,29.7,38.0,30.7,49.4,53.2,36.1,34.6,48.7,39.2,69.5,-11.6
273,Milwaukee,Horz,32,12,20,106.1,115.2,-9.1,0.2786,,49.9,55.5,15.2,15.8,33.0,29.2,32.1,35.9,50.8,56.0,32.3,36.5,38.1,40.2,67.6,-13.6
274,Incarnate Word,Slnd,31,12,19,108.6,118.1,-9.5,0.2764,,50.2,54.5,17.2,15.7,32.1,32.0,34.0,41.6,47.7,56.0,36.1,34.4,39.1,35.4,65.5,-13.7
275,Loyola Chicago,A10,33,9,24,103.2,112.3,-9.1,0.2744,,49.8,52.0,19.8,12.9,30.5,29.7,34.8,33.6,51.9,49.5,31.7,36.8,47.7,44.3,65.8,-16.0
276,Delaware,CUSA,31,10,21,105.7,115.1,-9.4,0.2726,,53.3,51.5,18.2,14.0,20.8,31.1,30.6,30.2,51.7,50.6,36.8,35.1,46.2,43.4,63.1,-16.1
277,South Dakota,Sum,32,16,16,104.3,113.8,-9.5,0.269,,49.9,54.5,16.6,15.9,28.7,30.3,45.2,31.0,50.7,55.7,32.3,34.5,35.9,30.0,70.0,-11.6
278,Mount St. Mary's,MAAC,32,15,17,99.2,108.3,-9.1,0.2676,,50.6,47.2,22.4,15.3,32.3,29.1,33.3,37.3,51.8,46.2,32.7,32.3,42.6,44.9,67.8,-12.5
279,Ball St.,MAC,31,12,19,99.0,108.2,-9.2,0.2646,,47.0,52.7,16.2,18.7,27.1,31.0,31.6,32.1,47.0,53.0,31.4,34.8,39.4,41.2,63.7,-14.6
280,Western Michigan,MAC,31,10,21,107.1,117.5,-10.4,0.2572,,49.9,54.4,16.9,13.4,30.5,29.1,32.8,37.5,48.1,54.5,35.3,36.1,36.1,43.7,67.8,-15.4
281,Prairie View A&M,SWAC,35,18,17,101.5,111.4,-9.9,0.2551,16.0,47.9,50.4,16.0,19.1,27.1,34.8,42.8,43.9,47.0,49.4,33.2,35.0,30.9,32.7,70.9,-12.5
282,Presbyterian,BSth,33,15,18,102.4,112.5,-10.1,0.253,,51.0,51.2,19.3,15.7,33.1,30.6,39.3,37.1,52.3,50.6,31.6,34.7,28.0,36.3,64.2,-13.7
283,Lehigh,Pat,34,18,16,102.6,112.8,-10.2,0.2517,16.0,53.3,50.6,17.5,16.3,22.8,31.7,32.2,32.8,52.4,51.2,36.5,32.8,38.2,32.2,66.9,-12.0
284,Mercyhurst,NEC,34,17,17,101.3,111.5,-10.2,0.2495,,49.5,50.1,14.3,18.7,26.4,29.9,25.6,42.6,50.0,51.0,32.1,32.3,31.1,33.6,64.6,-13.3
285,Jacksonville,ASun,32,12,20,103.4,113.9,-10.5,0.2484,,50.0,54.8,17.2,15.0,31.7,29.1,32.8,42.7,51.5,55.0,31.7,36.3,37.4,35.2,63.5,-14.9
286,Louisiana,SB,33,11,22,101.5,111.8,-10.3,0.2481,,47.1,52.6,16.8,18.3,28.3,32.3,28.7,45.8,44.8,52.2,33.6,35.6,40.5,36.2,63.3,-17.0
287,UNC Greensboro,SC,34,15,19,107.9,119.0,-11.1,0.2437,,52.0,56.2,15.0,13.7,28.1,29.0,42.0,30.6,51.0,55.6,35.6,38.0,40.2,46.6,67.7,-15.2
288,Arkansas Pine Bluff,SWAC,32,13,19,104.9,115.8,-10.9,0.2427,,50.0,52.6,18.7,16.5,27.9,34.2,38.4,43.6,49.8,54.4,33.6,33.2,37.2,37.3,69.3,-12.9
289,Brown,Ivy,27,9,18,97.8,108.0,-10.2,0.2426,,48.6,51.3,19.5,18.7,29.0,30.0,28.1,37.6,50.4,52.2,30.3,33.5,36.3,43.0,66.7,-14.5
290,Morehead St.,OVC,33,20,13,106.4,117.6,-11.2,0.2392,,49.2,50.2,18.0,15.4,35.8,35.8,37.7,35.6,49.7,49.1,32.0,34.5,30.5,39.0,65.3,-9.1
291,Florida A&M,SWAC,31,15,16,98.8,109.4,-10.6,0.2375,,49.2,51.2,21.5,19.1,30.9,30.9,37.4,39.6,49.4,50.6,32.6,34.9,37.7,34.4,68.0,-11.8
292,IU Indy,Horz,32,7,25,106.1,117.5,-11.4,0.2373,,52.2,58.2,15.9,19.2,28.7,35.6,21.7,46.6,54.8,58.4,32.4,38.5,42.1,35.7,73.7,-20.0
293,East Texas A&M,Slnd,32,11,21,100.6,111.5,-10.9,0.2351,,49.2,52.9,19.2,17.0,25.7,32.8,32.0,34.5,51.2,51.0,31.3,37.3,46.2,38.0,68.4,-15.0
294,Northeastern,CAA,31,7,24,106.9,118.5,-11.6,0.2348,,52.4,56.4,16.4,16.8,27.3,30.2,29.4,41.9,53.6,57.8,33.7,35.8,37.8,35.2,69.7,-19.2
295,West Georgia,ASun,32,15,17,102.1,113.2,-11.1,0.2347,,49.6,53.4,15.9,14.7,31.5,29.0,29.2,36.9,49.6,55.7,33.1,33.1,33.0,37.4,69.1,-12.4
296,Southeastern Louisiana,Slnd,31,9,22,99.4,110.2,-10.8,0.234,,46.7,52.4,18.4,19.1,28.6,31.4,40.3,41.2,49.4,51.4,28.4,36.0,39.5,37.9,65.4,-16.5
297,Sacred Heart,MAAC,33,14,19,106.8,118.6,-11.8,0.2313,,52.0,53.5,17.7,14.5,28.6,30.9,31.0,27.0,50.4,54.4,35.7,34.8,50.7,43.5,68.4,-15.2
298,Bellarmine,ASun,32,13,19,115.0,127.8,-12.8,0.2294,,59.4,59.4,15.5,15.0,22.4,34.2,35.0,34.3,61.0,58.1,38.1,40.4,41.2,50.5,64.6,-14.4
299,Oral Roberts,Sum,33,10,23,102.3,114.0,-11.7,0.2246,,49.7,53.6,18.5,14.7,28.4,31.8,34.8,39.1,51.1,52.2,32.0,37.4,45.6,36.6,67.7,-17.6
300,Eastern Kentucky,ASun,32,11,21,108.6,120.9,-12.3,0.2246,,52.1,56.1,16.9,14.8,32.5,31.7,30.7,38.5,51.6,57.4,35.0,36.2,50.8,41.6,67.2,-16.5
301,Grambling St.,SWAC,33,14,19,96.3,107.3,-11.0,0.2245,,48.8,50.0,21.2,20.8,30.3,32.5,41.1,40.0,48.9,50.5,32.3,32.7,38.1,35.2,67.5,-14.8
302,Evansville,MVC,32,7,25,102.4,114.3,-11.9,0.2194,,49.3,55.1,19.1,15.4,22.0,30.2,29.8,31.4,49.9,54.0,32.2,37.6,43.1,43.2,67.0,-17.7
303,USC Upstate,BSth,32,13,19,99.1,110.8,-11.7,0.2172,,48.3,51.0,18.2,16.4,29.2,31.4,32.8,36.0,48.9,49.5,31.4,35.6,35.6,36.1,67.6,-14.2
304,Hampton,CAA,32,13,19,100.7,112.7,-12.0,0.215,,45.7,52.0,17.0,17.2,32.9,30.0,39.2,46.5,47.1,54.0,28.8,32.1,37.1,33.6,65.4,-14.6
305,Texas Southern,SWAC,30,12,18,102.1,114.3,-12.2,0.2143,,49.7,52.5,18.5,16.5,28.8,31.2,38.2,44.0,49.8,53.5,33.1,34.1,32.5,43.2,68.7,-13.0
306,Northwestern St.,Slnd,32,10,22,100.6,112.7,-12.1,0.214,,48.6,53.0,18.3,16.9,26.1,32.6,40.1,36.3,48.0,52.9,33.2,35.5,33.9,37.9,64.8,-16.3
307,Alabama A&M,SWAC,33,18,15,104.3,116.8,-12.5,0.2136,,49.2,52.1,16.5,16.6,27.5,29.5,45.4,38.6,47.5,51.5,35.0,35.4,34.0,36.5,65.2,-11.6
308,Alabama St.,SWAC,32,10,22,99.7,111.7,-12.0,0.2127,,47.1,52.2,18.3,18.7,31.9,31.5,34.9,42.3,46.8,52.8,31.8,34.2,38.5,40.4,69.3,-16.6
309,Houston Christian,Slnd,32,12,20,101.6,113.9,-12.3,0.2126,,49.7,54.2,18.9,17.6,29.9,32.5,36.0,30.7,50.9,55.3,31.7,35.0,36.5,37.4,64.1,-14.9
310,Stetson,ASun,33,12,21,105.1,117.9,-12.8,0.2117,,53.1,55.2,18.1,15.1,26.6,31.8,32.4,30.4,52.5,57.6,36.0,34.6,44.7,41.1,66.8,-15.9
311,North Carolina A&T,CAA,30,11,19,104.4,117.2,-12.8,0.2091,,50.7,52.9,18.6,14.1,31.7,28.6,42.3,37.5,52.3,51.7,31.6,36.6,32.7,38.1,68.5,-15.2
312,Chattanooga,SC,32,13,19,105.3,118.4,-13.1,0.2067,,54.2,51.7,14.4,13.2,21.8,31.7,29.7,42.6,55.8,52.1,35.0,34.2,49.2,44.2,67.0,-15.3
313,Central Connecticut,NEC,30,18,12,104.5,117.4,-12.9,0.2064,,51.6,50.2,16.2,14.0,27.5,30.4,31.2,26.9,50.5,50.3,35.8,33.4,34.9,39.3,64.8,-9.4
314,Le Moyne,NEC,32,15,17,100.8,113.6,-12.8,0.202,,52.7,49.3,19.1,15.0,25.2,29.1,39.5,32.7,53.5,46.1,34.3,36.0,40.8,39.7,69.5,-13.8
315,Cleveland St.,Horz,33,11,22,109.6,123.6,-14.0,0.2014,,54.2,57.2,17.8,15.1,27.0,36.6,37.9,35.5,52.0,59.5,37.5,36.2,50.8,44.0,69.6,-16.9
316,Georgia St.,SB,32,10,22,99.3,112.1,-12.8,0.1994,,44.2,50.6,15.9,16.4,27.7,33.6,37.2,34.9,42.9,51.2,30.6,33.1,42.4,39.0,67.9,-17.7
317,Wagner,NEC,31,14,17,102.0,115.1,-13.1,0.1993,,49.6,50.4,18.5,14.9,32.8,29.6,32.3,40.8,46.6,49.9,36.6,34.3,36.1,35.8,65.5,-13.5
318,Northern Arizona,BSky,32,10,22,105.7,119.3,-13.6,0.1982,,51.7,56.9,16.0,16.6,23.3,33.4,31.8,32.7,50.7,56.1,35.6,38.7,36.7,40.0,63.8,-16.7
319,Albany,AE,32,11,21,103.5,117.9,-14.4,0.1817,,51.3,53.2,18.5,15.8,32.7,32.4,24.9,35.7,52.8,52.7,32.6,36.0,37.6,40.6,65.3,-17.3
320,UMass Lowell,AE,33,15,18,102.7,117.1,-14.4,0.1802,,49.8,53.5,18.0,14.2,32.7,29.4,34.9,28.3,50.5,54.4,32.2,34.6,31.3,35.0,69.3,-13.7
321,Lafayette,Pat,32,11,21,100.4,115.4,-15.0,0.1683,,49.3,53.6,15.3,15.1,25.8,28.6,32.4,30.6,50.0,53.4,32.2,36.0,39.8,38.0,66.8,-17.1
322,Tennessee Tech,OVC,31,13,18,101.8,117.2,-15.4,0.165,,48.9,51.5,19.1,15.1,31.3,30.7,35.5,31.3,50.1,50.3,31.1,35.8,36.5,36.1,67.0,-14.6
323,NJIT,AE,33,16,17,97.3,112.0,-14.7,0.1649,,46.7,50.0,17.1,16.2,26.2,32.1,33.2,37.9,47.5,51.1,30.4,32.3,40.1,40.7,68.0,-12.4
