rank,team,team_id,conference,conf_rank,record,home_record,away_record,cage_em,cage_o,cage_d,cage_t,barthag,wab,expected_win_pct,actual_win_pct,luck,sos,q1_record,q2_record,q3_record,q4_record,q1_wpct,best_win_net,bad_loss_count,cage_power_index,eff_grade,resume_score,suffocation,momentum,clutch_rating,consistency_score,off_identity,tourney_readiness,star_risk,dna_score,floor_em,ceiling_em,trend_arrow,trend_numeric,offensive_archetype,home_road_delta_pct,regression_risk,star_danger,three_pct_gap,efg_pct,opp_efg_pct,tov_pct,orb_pct,drb_pct,ftr,three_par,three_pct,ft_pct,close_wpct,net_rtg_l5,net_rtg_l10,updated_at,conference_name
1,Tennessee State Tigers,2634,Southland Conference,1,2-0,2-0,0-0,80.5,138.9,58.4,64.0,0.9999,0.14,0.991,1.0,0.0,-4.5,0-0,0-0,0-0,1-0,,-14.8,0.0,100.0,A+,45.7,85.3,0.0,74.4,100.0,,,,,68.5,92.5,→ FLAT,0.0,balanced,100.0,0,0,0.0,64.8,39.4,19.1,24.3,75.7,24.1,35.2,42.1,76.9,,27.4,27.4,2026-02-25 16:26 PST,Southland Conference
2,Tulsa Golden Hurricane,202,Atlantic Coast Conference,1,2-0,2-0,0-0,76.7,156.7,80.0,67.8,0.9996,0.18,0.97,1.0,0.0,-1.4,0-0,0-0,0-0,1-0,,-11.9,0.0,93.4,A+,48.4,67.1,0.0,60.0,100.0,,,,,64.7,88.7,→ FLAT,0.0,balanced,100.0,0,0,0.0,63.5,46.2,10.0,27.5,72.5,39.7,46.0,41.4,80.0,,22.4,22.4,2026-02-25 16:26 PST,Atlantic Coast Conference
3,George Washington Revolutionaries,45,Big Ten,1,1-1,0-0,1-1,68.0,163.2,95.2,70.3,0.998,0.77,0.969,0.5,0.0,9.8,1-0,0-0,0-0,0-0,1.0,9.8,0.0,92.5,A+,73.2,69.6,0.0,37.6,100.0,,,,72.0,56.0,80.0,→ FLAT,0.0,interior,-50.0,0,0,0.0,75.9,41.0,17.9,20.6,79.4,34.5,37.9,45.5,80.0,,-21.1,-21.1,2026-02-25 16:26 PST,Big Ten
4,UConn Huskies,41,Big 12,1,2-1,1-1,1-0,65.0,162.2,97.2,19.7,0.9972,1.57,0.997,0.667,0.0,13.9,1-0,1-0,0-0,0-0,1.0,24.0,0.0,91.1,A+,82.8,50.1,0.0,57.6,100.0,,,,87.5,53.0,77.0,→ FLAT,0.0,balanced,-50.0,0,0,0.0,72.7,51.0,0.0,0.0,100.0,27.3,36.4,50.0,66.7,,3.6,3.6,2026-02-25 16:26 PST,Big 12
5,Boston University Terriers,104,Independent,1,2-1,2-0,0-1,57.2,151.6,94.4,26.8,0.9957,-0.34,0.999,0.667,0.0,-15.75,0-0,1-0,0-0,0-1,,4.8,1.0,84.4,A+,42.9,52.6,0.0,66.4,100.0,,,,69.2,45.2,69.2,→ FLAT,0.0,balanced,100.0,0,0,0.0,79.4,47.6,11.8,18.2,81.8,0.0,35.3,50.0,80.0,,21.0,21.0,2026-02-25 16:26 PST,Independent
6,North Dakota State Bison,2449,Big Ten,1,2-0,1-0,1-0,48.3,116.0,67.7,66.5,0.998,0.08,0.996,1.0,0.0,-11.4,0-0,0-0,0-0,1-0,,-19.9,0.0,86.8,A+,45.9,72.5,0.0,65.6,100.0,,,,50.8,36.3,60.3,→ FLAT,0.0,balanced,0.0,0,0,0.0,60.7,53.3,19.8,32.7,67.3,8.0,52.0,43.6,66.7,,30.0,30.0,2026-02-25 16:26 PST,Big Ten
7,Duke Blue Devils,150,Big East,1,3-0,2-0,1-0,44.9,128.8,83.9,70.2,0.9928,1.15,0.999,1.0,0.0,4.15,1-0,0-0,1-0,0-0,1.0,16.2,0.0,87.1,A+,74.8,53.9,0.0,76.0,100.0,,,,,32.9,56.9,→ FLAT,0.0,perimeter,0.0,0,0,0.0,55.9,55.4,12.7,28.6,71.4,64.4,55.9,36.4,89.5,,33.6,33.6,2026-02-25 16:26 PST,Big East
8,Utah Valley Wolverines,3084,Atlantic Sun Conference,1,2-0,1-0,1-0,43.0,126.2,83.2,67.3,0.9918,0.93,0.91,1.0,0.0,10.15,1-0,0-0,0-0,0-0,1.0,21.0,0.0,86.0,A+,79.7,46.3,0.0,80.0,100.0,,,,,31.0,55.0,→ FLAT,0.0,balanced,0.0,0,0,0.0,40.8,48.4,18.8,48.9,51.1,33.8,21.5,7.1,59.1,,24.4,24.4,2026-02-25 16:26 PST,Atlantic Sun Conference
9,Little Rock Trojans,2031,Southland Conference,2,1-1,1-1,0-0,41.8,124.8,83.0,64.9,0.9909,0.0,0.299,0.5,0.0,4.56,0-0,0-1,1-0,0-0,,-4.2,0.0,84.2,A+,54.2,69.6,0.0,56.0,100.0,,,,,29.8,53.8,→ FLAT,0.0,balanced,50.0,0,0,0.0,41.4,39.4,13.6,29.0,71.0,32.8,25.9,26.7,89.5,0.5,-2.1,-2.1,2026-02-25 16:26 PST,Southland Conference
10,Wisconsin Badgers,275,Pac-12,1,1-1,1-0,0-1,41.4,146.4,105.0,69.2,0.9786,0.74,0.874,0.5,0.0,-2.55,1-0,0-0,0-0,0-0,1.0,8.4,0.0,84.6,A+,62.8,63.6,0.0,64.0,100.0,,,,59.6,29.4,53.4,→ FLAT,0.0,balanced,100.0,0,0,0.0,63.5,41.8,12.5,17.2,82.8,38.5,46.2,41.7,90.0,,-2.3,-2.3,2026-02-25 16:26 PST,Pac-12
