rank,team,team_id,conference,conf_rank,record,home_record,away_record,cage_em,cage_o,cage_d,cage_t,barthag,wab,expected_win_pct,actual_win_pct,luck,sos,q1_record,q2_record,q3_record,q4_record,q1_wpct,best_win_net,bad_loss_count,cage_power_index,eff_grade,resume_score,suffocation,momentum,clutch_rating,consistency_score,off_identity,tourney_readiness,star_risk,dna_score,floor_em,ceiling_em,trend_arrow,trend_numeric,offensive_archetype,home_road_delta_pct,regression_risk,star_danger,three_pct_gap,efg_pct,opp_efg_pct,tov_pct,orb_pct,drb_pct,ftr,three_par,three_pct,ft_pct,close_wpct,net_rtg_l5,net_rtg_l10,updated_at,conference_name
14,Bowling Green Falcons,189,Mid-American Conference,2,0-0,0-0,0-0,0.0,103.0,103.0,70.0,0.5,,0.5,0.0,0.0,-103.0,,,,,,,,44.2,B-,50.0,,0.0,0.0,100.0,,,0.0,,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,,,,,,,,,,,,,2026-02-24 15:50 PST,Mid-American Conference
15,Oklahoma State Cowboys,197,Southeastern Conference,1,0-0,0-0,0-0,0.0,103.0,103.0,70.0,0.5,,0.5,0.0,0.0,-103.0,,,,,,,,44.2,B-,50.0,,0.0,0.0,100.0,,,0.0,,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,,,,,,,,,,,,,2026-02-24 15:50 PST,Southeastern Conference
16,Auburn Tigers,2,Patriot League,1,0-0,0-0,0-0,0.0,103.0,103.0,70.0,0.5,,0.5,0.0,0.0,-103.0,,,,,,,,44.2,B-,50.0,,0.0,0.0,100.0,,,0.0,,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,,,,,,,,,,,,,2026-02-24 15:50 PST,Patriot League
17,Air Force Falcons,2005,Independents,1,0-0,0-0,0-0,0.0,103.0,103.0,70.0,0.5,,0.5,0.0,0.0,-103.0,,,,,,,,44.2,B-,50.0,,0.0,0.0,100.0,,,0.0,,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,,,,,,,,,,,,,2026-02-24 15:50 PST,Independents
18,Akron Zips,2006,Mid-American Conference,2,0-0,0-0,0-0,0.0,103.0,103.0,70.0,0.5,,0.5,0.0,0.0,-103.0,,,,,,,,44.2,B-,50.0,,0.0,0.0,100.0,,,0.0,,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,,,,,,,,,,,,,2026-02-24 15:50 PST,Mid-American Conference
19,Oklahoma Sooners,201,Patriot League,1,0-0,0-0,0-0,0.0,103.0,103.0,70.0,0.5,,0.5,0.0,0.0,-103.0,,,,,,,,44.2,B-,50.0,,0.0,0.0,100.0,,,0.0,,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,,,,,,,,,,,,,2026-02-24 15:50 PST,Patriot League
20,Arkansas State Red Wolves,2032,Mid-Eastern Athletic Conference,1,0-0,0-0,0-0,0.0,103.0,103.0,70.0,0.5,,0.5,0.0,0.0,-103.0,,,,,,,,44.2,B-,50.0,,0.0,0.0,100.0,,,0.0,,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,,,,,,,,,,,,,2026-02-24 15:50 PST,Mid-Eastern Athletic Conference
21,Ball State Cardinals,2050,Mid-American Conference,2,0-0,0-0,0-0,0.0,103.0,103.0,70.0,0.5,,0.5,0.0,0.0,-103.0,,,,,,,,44.2,B-,50.0,,0.0,0.0,100.0,,,0.0,,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,,,,,,,,,,,,,2026-02-24 15:50 PST,Mid-American Conference
22,Buffalo Bulls,2084,Mid-American Conference,2,0-0,0-0,0-0,0.0,103.0,103.0,70.0,0.5,,0.5,0.0,0.0,-103.0,,,,,,,,44.2,B-,50.0,,0.0,0.0,100.0,,,0.0,,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,,,,,,,,,,,,,2026-02-24 15:50 PST,Mid-American Conference
23,UCF Knights,2116,Southeastern Conference,1,0-0,0-0,0-0,0.0,103.0,103.0,70.0,0.5,,0.5,0.0,0.0,-103.0,,,,,,,,44.2,B-,50.0,,0.0,0.0,100.0,,,0.0,,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,,,,,,,,,,,,,2026-02-24 15:50 PST,Southeastern Conference
