game_id,game_date,home_team_id,away_team_id,open_home_spread,open_total,open_source,open_captured_at,close_home_spread,close_total,close_captured_at,spread_move,spread_move_abs,spread_move_direction,steam_move_flag,spread_crossed_key_number,total_move,total_move_direction,total_steam_flag,reverse_line_movement_flag,sharp_side,n_captures,hours_of_movement,line_stability_score,market_confidence_flag
401808257,2026-02-24,142,2633,-2.5,144.5,opening,2026-02-24 23:50:25.692204+00:00,-2.5,144.5,2026-02-24 23:50:25.692204+00:00,0.0,0.0,none,0,0,0.0,none,0,,,1,0.0,1.0,stable
401814583,2026-02-24,2199,193,,,opening,2026-02-24 23:50:18.562791+00:00,,,2026-02-24 23:50:18.562791+00:00,0.0,0.0,none,0,0,0.0,none,0,,,1,0.0,1.0,stable
401820763,2026-02-24,258,152,-5.5,151.5,opening,2026-02-24 23:50:20.378452+00:00,-5.5,151.5,2026-02-24 23:50:20.378452+00:00,0.0,0.0,none,0,0,0.0,none,0,,,1,0.0,1.0,stable
401820767,2026-02-24,87,150,-17.5,142.5,opening,2026-02-24 23:50:19.445856+00:00,-17.5,142.5,2026-02-24 23:50:19.445856+00:00,0.0,0.0,none,0,0,0.0,none,0,,,1,0.0,1.0,stable
401825537,2026-02-24,130,135,-21.5,145.5,opening,2026-02-24 23:50:23.076220+00:00,-21.5,145.5,2026-02-24 23:50:23.076220+00:00,0.0,0.0,none,0,0,0.0,none,0,,,1,0.0,1.0,stable
401827700,2026-02-24,239,12,-8.5,154.5,opening,2026-02-24 23:50:23.958377+00:00,-8.5,154.5,2026-02-24 23:50:23.958377+00:00,0.0,0.0,none,0,0,0.0,none,0,,,1,0.0,1.0,stable
401827701,2026-02-24,252,2116,-12.5,162.5,opening,2026-02-24 23:50:26.587172+00:00,-12.5,162.5,2026-02-24 23:50:26.587172+00:00,0.0,0.0,none,0,0,0.0,none,0,,,1,0.0,1.0,stable
401827704,2026-02-24,2641,2132,-6.5,142.5,opening,2026-02-24 23:50:21.284319+00:00,-6.5,142.5,2026-02-24 23:50:21.284319+00:00,0.0,0.0,none,0,0,0.0,none,0,,,1,0.0,1.0,stable
401827705,2026-02-24,254,66,-14.5,144.5,opening,2026-02-24 23:50:24.813252+00:00,-14.5,144.5,2026-02-24 23:50:24.813252+00:00,0.0,0.0,none,0,0,0.0,none,0,,,1,0.0,1.0,stable
401828443,2026-02-24,2168,139,-4.5,156.5,opening,2026-02-24 23:50:22.176273+00:00,-4.5,156.5,2026-02-24 23:50:22.176273+00:00,0.0,0.0,none,0,0,0.0,none,0,,,1,0.0,1.0,stable
401825543,2026-02-26,2509,127,-6.5,141.5,pregame,2026-02-26 22:42:14.733621+00:00,-6.5,141.5,2026-02-26 22:42:14.733621+00:00,0.0,0.0,none,0,0,0.0,none,0,,,1,0.0,1.0,stable
